target,feature,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,mean_difference,median_difference,t_stat,p_value,cohen_d,effect_magnitude,direction,p_fdr,significant_fdr
correct,alpha_frontoparietal_ratio,1059,20008,0.5884908981784834,0.568431065140019,0.5044348214626597,0.480124144530659,0.37003778968351997,0.392117422294702,-0.02005983303846448,-0.02431067693200073,-1.713927055130936,0.08680313392065678,-0.051298909163643464,negligible,negative,0.11573751189420904,False
correct,delta_temporal,1059,20008,2.724240641908163,2.4736161138832182,1.4309408177573415,1.234178312660049,5.609927026776439,7.703896529752618,-0.25062452802494484,-0.19676250509729254,-1.3862909495124853,0.1658996761992047,-0.03292286399109911,negligible,negative,0.21605539225942938,False
correct,gamma_abs,1059,20008,0.13312597891218053,0.1460820304806362,0.1034048997832818,0.10750100371966151,0.3124551116204284,0.20865602743752068,0.012956051568455668,0.004096103936379714,1.3337274953584815,0.18256715086659553,0.06024176041933821,negligible,positive,0.23235819201203067,False
correct,delta_occipital,1059,20008,5.362145822148371,5.838291978280698,2.0575060160394174,1.967031864717606,11.92370834792415,27.83800129153247,0.47614615613232747,-0.09047415132181147,1.1448134429603665,0.2524430963874046,0.017466079082660492,negligible,positive,0.314151408837659,False
correct,gamma_rel,1059,20008,0.033170670751742674,0.0319173897034909,0.0234208460716408,0.023176923774843053,0.03529383000422689,0.03252802561180033,-0.0012532810482517726,-0.00024392229679774668,-1.1304417224405225,0.25852479865887107,-0.038358867976205434,negligible,negative,0.31472584184558217,False
correct,beta_rel,1059,20008,0.06854506474318528,0.06699765401691384,0.0596570245140746,0.0573598420523278,0.0470188407948696,0.045177637826217774,-0.0015474107262714448,-0.0022971824617467954,-1.0457356766213797,0.2959002353491021,-0.03418038016825143,negligible,negative,0.352561982543611,False
correct,alpha_occipital,1059,20008,4.023955499322334,4.349168601747582,1.2860647033559898,1.2946937061404098,11.867870594544655,10.811308458080287,0.3252131024252485,0.008629002784420026,0.8727879540657941,0.3829604093532675,0.029927149255285498,negligible,positive,0.4467871442454787,False
correct,gamma_central,1059,20008,0.05733326523826072,0.0605572873550719,0.0425379253109407,0.04433684681024,0.12028268156145534,0.1588784137996108,0.003224022116811179,0.0017989214992992983,0.8345702000379374,0.40411771456756523,0.020513463405794467,negligible,positive,0.46184881664864597,False
correct,gamma_frontal,1059,20008,0.1942844810516815,0.1846980161819798,0.1331482729377779,0.1111791377994493,0.6237166246533898,0.33956218890199846,-0.009586464869701689,-0.0219691351383286,-0.4962940535728096,0.6197868914981668,-0.02668573354265869,negligible,negative,0.6941613184779467,False
correct,theta_alpha_frontal_ratio,1059,20008,2.059159952269411,2.0311709308202515,1.435996493993112,1.4755024791220157,1.9335042240430755,2.012028772766792,-0.0279890214491596,0.03950598512890369,-0.45812956119682013,0.6469435330429169,-0.013937658482577886,negligible,negative,0.7103693696157518,False
