target,feature,n_subjects,mean_subject_effect,median_subject_effect,subject_std,positive_fraction,negative_fraction,directional_consistency,subject_t_stat,subject_p_value,subject_p_fdr
remember,alpha_central,22,-0.03963785872665713,-1.0283077202479933e-05,0.20695895727578661,0.45454545454545453,0.5454545454545454,0.5454545454545454,-0.8983328854397882,0.3791929937569038,0.942541218625936
remember,beta_central,22,0.0005672663579465347,0.0013347369410702248,0.01779583910935802,0.5909090909090909,0.4090909090909091,0.5909090909090909,0.14951332437765838,0.8825752037458162,0.942541218625936
remember,gamma_central,22,0.004361522247368668,0.0015420423906634829,0.015851696352128557,0.6363636363636364,0.36363636363636365,0.6363636363636364,1.2905465908152787,0.21088978289905783,0.942541218625936
remember,delta_parietal,22,-0.03648133875743818,-0.022446558275980986,0.9055858952682475,0.4090909090909091,0.5909090909090909,0.5909090909090909,-0.18895241979962518,0.8519443185636163,0.942541218625936
remember,theta_parietal,22,-0.15905213892166245,0.014105213415095408,0.6108936790502786,0.5909090909090909,0.4090909090909091,0.5909090909090909,-1.2211955772591832,0.23554567873672128,0.942541218625936
remember,beta_parietal,22,0.0010234099219855704,0.0011287038717051612,0.025388093951831055,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.18907358842882263,0.8518505533526392,0.942541218625936
remember,gamma_parietal,22,0.001993395339266899,0.001670181371644066,0.01012814262510098,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.9231557316031395,0.3664120536836901,0.942541218625936
remember,delta_occipital,22,0.2730592534396221,0.10649146169584,2.117051647330751,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6049741050548533,0.5516780930492273,0.942541218625936
remember,theta_occipital,22,-0.09982781532565516,-6.730889663963225e-06,0.8112320812170551,0.5,0.5,0.5,-0.5771886604505648,0.56994880092255,0.942541218625936
remember,alpha_occipital,22,-0.1501849283034301,-5.3682311186815945e-05,0.703772979596175,0.5,0.5,0.5,-1.0009332199803442,0.32825380777055707,0.942541218625936
remember,beta_occipital,22,-0.0032808393563212813,0.0009854192505118903,0.04272623297620434,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.3601651620190495,0.7223207067790002,0.942541218625936
