target,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,std_abs_coefficient,mean_permutation_importance,std_permutation_importance,mean_permutation_importance_std,coefficient_sign_consistency,positive_fraction,negative_fraction,folds_available,stable_direction,mean_abs_permutation_importance,stability_score,scientific_ml_rank
correct,theta_alpha_beta_ratio,0.254690616486339,0.11254479302979173,0.254690616486339,0.11254479302979173,0.008293837559807985,0.018364995347399483,0.004929352149966657,1.0,1.0,0.0,5,True,0.008293837559807985,0.008293837559807985,14
correct,gamma_frontal,-0.9085568512761151,0.4823426659529717,0.9085568512761151,0.4823426659529717,0.008091486719588103,0.019308701393206073,0.009580667410088926,1.0,0.0,1.0,5,True,0.008091486719588103,0.008091486719588103,15
correct,gamma_rel,-0.06714705728488479,0.22962367940303358,0.1299595355022737,0.19300542009268343,-0.012311363317448972,0.023601077022533598,0.0030920229954525423,0.6,0.4,0.6,5,False,0.012311363317448972,0.007386817990469383,16
correct,theta_alpha_parietal_ratio,0.08120514778480627,0.14310264824850744,0.13797872042838383,0.07016804012767282,-0.008867057614516904,0.01604475157370852,0.0034562534603513667,0.8,0.8,0.2,5,True,0.008867057614516904,0.0070936460916135235,17
correct,alpha_temporal,-0.19531461157552613,0.027384603975799175,0.19531461157552613,0.027384603975799175,-0.006950161981516173,0.013975518564273015,0.005580841193122759,1.0,0.0,1.0,5,True,0.006950161981516173,0.006950161981516173,18
correct,gamma_parietal,-0.6471062807555261,0.3950797551146875,0.6471062807555261,0.3950797551146875,-0.005427515357335203,0.014575598084479549,0.007681723348896852,1.0,0.0,1.0,5,True,0.005427515357335203,0.005427515357335203,19
correct,alpha_beta_ratio,-0.5405505465311888,0.3862368162403836,0.5405505465311888,0.3862368162403836,-0.005260673049538559,0.033288239964317415,0.00958967909115443,1.0,0.0,1.0,5,True,0.005260673049538559,0.005260673049538559,20
correct,alpha_abs,0.9317484401915902,0.5037187361921436,0.9317484401915902,0.5037187361921436,-0.005006376288939513,0.04221619682732177,0.011799498937672761,1.0,1.0,0.0,5,True,0.005006376288939513,0.005006376288939513,21
correct,beta_parietal,1.019699964110357,0.43683587755160114,1.019699964110357,0.43683587755160114,0.004922861518726687,0.04555983561926346,0.011090438735859933,1.0,1.0,0.0,5,True,0.004922861518726687,0.004922861518726687,22
correct,theta_occipital,-0.12309138193466951,0.044634651719962656,0.12309138193466951,0.044634651719962656,-0.004505294791013321,0.011954158311934214,0.003216492856139843,1.0,0.0,1.0,5,True,0.004505294791013321,0.004505294791013321,23
correct,alpha_beta_central_ratio,0.122159043819188,0.19307799651558324,0.1363470264341426,0.18081624152769976,-0.005530417559405855,0.010018623740999192,0.00375567438711472,0.8,0.8,0.2,5,True,0.005530417559405855,0.004424334047524684,24
correct,theta_rel,0.0138040298350267,0.04807770962635925,0.04236696212431138,0.01749159406603234,-0.007281504360528731,0.008242223638987295,0.0016368148093114457,0.6,0.6,0.4,5,False,0.007281504360528731,0.004368902616317239,25
correct,beta_frontal,0.9010181611970263,0.4022112955790953,0.9010181611970263,0.4022112955790953,0.004342894434423962,0.02378580143555998,0.011327721386606756,1.0,1.0,0.0,5,True,0.004342894434423962,0.004342894434423962,26
correct,theta_abs,2.1225259087011468,0.6030033607515964,2.1225259087011468,0.6030033607515964,-0.003953092667643057,0.05656950599611805,0.014726753474977618,1.0,1.0,0.0,5,True,0.003953092667643057,0.003953092667643057,27
correct,delta_occipital,0.3972656851559865,0.18343225328660684,0.3972656851559865,0.18343225328660684,0.003823548741953806,0.011638663569356496,0.004984625406996246,1.0,1.0,0.0,5,True,0.003823548741953806,0.003823548741953806,28
correct,delta_frontoparietal_diff,0.1954022783939303,0.1385412700664353,0.1954022783939303,0.1385412700664353,0.003804203710420473,0.009291656243429564,0.004109521989703725,1.0,1.0,0.0,5,True,0.003804203710420473,0.003804203710420473,29
correct,beta_frontoparietal_ratio,0.028867466201084584,0.08630077607959119,0.06391812148068801,0.05815994662139231,-0.00564298188992726,0.012651695238528939,0.0016975085408144186,0.6,0.6,0.4,5,False,0.00564298188992726,0.003385789133956356,30
correct,theta_frontoparietal_diff,0.11134116728124137,0.0654370737636733,0.11134116728124137,0.0654370737636733,0.003319016569900148,0.007270191581720033,0.003231091062623205,1.0,1.0,0.0,5,True,0.003319016569900148,0.003319016569900148,31
correct,delta_frontoparietal_ratio,-0.0008557360161818295,0.07360596942911184,0.053978599887645785,0.04215023764432287,-0.00550523539716734,0.008352471606236894,0.0020352923748001416,0.6,0.4,0.6,5,False,0.00550523539716734,0.0033031412383004036,32
correct,theta_temporal,0.06476452865709939,0.08559678967471535,0.08257362122780036,0.06361495079379896,-0.003906545849462784,0.007412840154013646,0.00244116982744868,0.8,0.8,0.2,5,True,0.003906545849462784,0.0031252366795702273,33
correct,alpha_frontal,-0.6382049430007309,0.3541176578057183,0.6382049430007309,0.3541176578057183,-0.0030381821733048526,0.01956463870554746,0.010212007137576262,1.0,0.0,1.0,5,True,0.0030381821733048526,0.0030381821733048526,34
correct,alpha_central,0.008154276630148588,0.12238276501446592,0.10400570358038483,0.039232301553995264,0.005053144141906682,0.007637382947715513,0.0027900451731329187,0.6,0.6,0.4,5,False,0.005053144141906682,0.003031886485144009,35
