subject,session,file,sampling_rate,channels,samples,trials,duration_seconds
sub-017,ses-01,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,277505,1,555.01
sub-017,ses-01,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,257791,1,515.582
sub-018,ses-01,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,308992,1,617.984
sub-018,ses-01,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,297472,1,594.944
sub-018,ses-01,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,292607,1,585.214
sub-019,ses-01,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,319489,1,638.978
sub-019,ses-01,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,313856,1,627.712
sub-019,ses-01,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,327679,1,655.358
sub-020,ses-01,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,299777,1,599.554
sub-020,ses-01,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,308481,1,616.962
sub-020,ses-01,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,292607,1,585.214
sub-021,ses-01,sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,357121,1,714.242
sub-021,ses-01,sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,395521,1,791.042
sub-021,ses-01,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,340479,1,680.958
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,500.0586756077117,71,289025,1,577.982173089495
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,500.0586756077117,71,242688,1,485.3190472199406
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,500.0586756077117,71,386818,1,773.5452235278341
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,500.0586756077117,71,345856,1,691.6308362807382
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,500.0586756077117,71,348161,1,696.2402953551134
sub-022,ses-01,sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,500.0586756077117,71,404225,1,808.3551385419984
sub-023,ses-01,sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,500.0586756077117,71,360961,1,721.8372915165027
sub-023,ses-01,sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,500.0586756077117,71,354305,1,708.5268535125803
sub-023,ses-01,sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,500.0586756077117,71,356864,1,713.644252979533
sub-023,ses-01,sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,500.0586756077117,71,339201,1,678.3223980421409
sub-023,ses-01,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,500.0586756077117,71,309505,1,618.9373669477178
sub-024,ses-01,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,284929,1,569.858
sub-024,ses-01,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,281601,1,563.202
sub-024,ses-01,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,283391,1,566.782
