subject,run,task_role,count
sub-018,3,ignored_correct,9
sub-018,3,indicate_ready,25
sub-018,3,probe_not_shown,10
sub-018,3,probe_target,15
sub-018,3,remembered_correct,15
sub-018,3,remembered_incorrect,1
sub-018,3,to_ignore,73
sub-018,3,to_remember,126
sub-018,3,work_memory,25
sub-019,1,feedback_correct,23
sub-019,1,feedback_incorrect,2
sub-019,1,fixate,24
sub-019,1,ignored_correct,9
sub-019,1,ignored_incorrect,1
sub-019,1,indicate_ready,24
sub-019,1,probe_not_shown,10
sub-019,1,probe_target,15
sub-019,1,remembered_correct,14
sub-019,1,remembered_incorrect,1
sub-019,1,to_ignore,75
sub-019,1,to_remember,125
sub-019,1,work_memory,25
sub-019,2,feedback_correct,22
sub-019,2,fixate,24
sub-019,2,ignored_correct,9
sub-019,2,indicate_ready,24
sub-019,2,probe_not_shown,11
sub-019,2,probe_target,14
sub-019,2,remembered_correct,12
sub-019,2,to_ignore,77
sub-019,2,to_remember,123
sub-019,2,work_memory,25
sub-019,3,feedback_correct,20
sub-019,3,feedback_incorrect,3
sub-019,3,fixate,22
sub-019,3,ignored_correct,9
sub-019,3,ignored_incorrect,2
sub-019,3,indicate_ready,22
sub-019,3,probe_not_shown,9
sub-019,3,probe_target,15
sub-019,3,remembered_correct,12
sub-019,3,remembered_incorrect,1
sub-019,3,to_ignore,72
sub-019,3,to_remember,125
sub-019,3,work_memory,25
sub-020,1,feedback_correct,21
sub-020,1,feedback_incorrect,1
sub-020,1,fixate,25
sub-020,1,ignored_correct,9
sub-020,1,indicate_ready,25
sub-020,1,probe_not_shown,10
sub-020,1,probe_target,15
sub-020,1,remembered_correct,13
sub-020,1,remembered_incorrect,1
sub-020,1,to_ignore,75
sub-020,1,to_remember,124
sub-020,1,work_memory,21
sub-020,2,feedback_correct,12
sub-020,2,fixate,22
sub-020,2,ignored_correct,6
sub-020,2,indicate_ready,22
sub-020,2,probe_not_shown,8
sub-020,2,probe_target,10
sub-020,2,remembered_correct,11
sub-020,2,to_ignore,76
sub-020,2,to_remember,121
sub-020,2,work_memory,19
sub-020,3,feedback_correct,16
sub-020,3,feedback_incorrect,1
sub-020,3,fixate,24
sub-020,3,ignored_correct,10
sub-020,3,ignored_incorrect,1
sub-020,3,indicate_ready,23
sub-020,3,probe_not_shown,10
sub-020,3,probe_target,15
sub-020,3,remembered_correct,9
sub-020,3,to_ignore,73
sub-020,3,to_remember,127
sub-020,3,work_memory,25
sub-021,1,feedback_correct,19
sub-021,1,fixate,21
sub-021,1,ignored_correct,9
sub-021,1,indicate_ready,20
sub-021,1,probe_not_shown,10
sub-021,1,probe_target,15
sub-021,1,remembered_correct,11
sub-021,1,to_ignore,75
sub-021,1,to_remember,124
sub-021,1,work_memory,24
sub-021,2,feedback_correct,18
sub-021,2,feedback_incorrect,1
sub-021,2,fixate,25
sub-021,2,ignored_correct,7
sub-021,2,indicate_ready,25
sub-021,2,probe_not_shown,11
sub-021,2,probe_target,14
sub-021,2,remembered_correct,7
sub-021,2,remembered_incorrect,1
sub-021,2,to_ignore,77
sub-021,2,to_remember,123
sub-021,2,work_memory,24
sub-021,3,feedback_correct,15
sub-021,3,fixate,23
sub-021,3,ignored_correct,8
sub-021,3,indicate_ready,23
sub-021,3,probe_not_shown,8
sub-021,3,probe_target,14
sub-021,3,remembered_correct,9
sub-021,3,to_ignore,69
sub-021,3,to_remember,111
sub-021,3,work_memory,18
sub-022,1,bad_trial,12
sub-022,1,feedback_correct,19
sub-022,1,feedback_incorrect,2
sub-022,1,fixate,21
sub-022,1,ignored_correct,9
sub-022,1,ignored_incorrect,2
sub-022,1,indicate_ready,21
sub-022,1,probe_not_shown,9
sub-022,1,probe_target,12
sub-022,1,remembered_correct,10
sub-022,1,remembered_incorrect,1
sub-022,1,to_ignore,65
sub-022,1,to_remember,103
sub-022,1,work_memory,21
sub-022,2,bad_trial,12
sub-022,2,feedback_correct,13
sub-022,2,fixate,13
sub-022,2,ignored_correct,6
sub-022,2,indicate_ready,13
sub-022,2,probe_not_shown,6
sub-022,2,probe_target,7
sub-022,2,remembered_correct,7
sub-022,2,remembered_incorrect,1
sub-022,2,to_ignore,39
sub-022,2,to_remember,65
sub-022,2,work_memory,13
sub-022,3,feedback_correct,23
sub-022,3,feedback_incorrect,2
sub-022,3,fixate,25
sub-022,3,ignored_correct,10
sub-022,3,ignored_incorrect,2
sub-022,3,indicate_ready,25
sub-022,3,probe_not_shown,10
sub-022,3,probe_target,15
sub-022,3,remembered_correct,13
sub-022,3,to_ignore,73
sub-022,3,to_remember,127
sub-022,3,work_memory,25
sub-022,4,feedback_correct,24
sub-022,4,feedback_incorrect,1
sub-022,4,fixate,25
sub-022,4,ignored_correct,15
sub-022,4,ignored_incorrect,1
