subject,run,task_role,count
sub-022,4,indicate_ready,25
sub-022,4,probe_not_shown,15
sub-022,4,probe_target,10
sub-022,4,remembered_correct,9
sub-022,4,to_ignore,75
sub-022,4,to_remember,125
sub-022,4,work_memory,25
sub-022,5,feedback_correct,24
sub-022,5,feedback_incorrect,1
sub-022,5,fixate,25
sub-022,5,ignored_correct,9
sub-022,5,indicate_ready,25
sub-022,5,probe_not_shown,10
sub-022,5,probe_target,15
sub-022,5,remembered_correct,15
sub-022,5,remembered_incorrect,1
sub-022,5,to_ignore,75
sub-022,5,to_remember,125
sub-022,5,work_memory,25
sub-022,6,bad_trial,3
sub-022,6,feedback_correct,23
sub-022,6,feedback_incorrect,1
sub-022,6,fixate,24
sub-022,6,ignored_correct,10
sub-022,6,ignored_incorrect,1
sub-022,6,indicate_ready,24
sub-022,6,probe_not_shown,10
sub-022,6,probe_target,14
sub-022,6,remembered_correct,13
sub-022,6,remembered_incorrect,1
sub-022,6,to_ignore,72
sub-022,6,to_remember,120
sub-022,6,work_memory,24
sub-023,1,feedback_correct,23
sub-023,1,feedback_incorrect,2
sub-023,1,fixate,25
sub-023,1,ignored_correct,8
sub-023,1,indicate_ready,25
sub-023,1,probe_not_shown,10
sub-023,1,probe_target,15
sub-023,1,remembered_correct,16
sub-023,1,remembered_incorrect,2
sub-023,1,to_ignore,75
sub-023,1,to_remember,125
sub-023,1,work_memory,25
sub-023,2,feedback_correct,24
sub-023,2,feedback_incorrect,1
sub-023,2,fixate,25
sub-023,2,ignored_correct,11
sub-023,2,ignored_incorrect,1
sub-023,2,indicate_ready,25
sub-023,2,probe_not_shown,11
sub-023,2,probe_target,14
sub-023,2,remembered_correct,13
sub-023,2,to_ignore,77
sub-023,2,to_remember,123
sub-023,2,work_memory,25
sub-023,3,feedback_correct,24
sub-023,3,feedback_incorrect,1
sub-023,3,fixate,25
sub-023,3,ignored_correct,10
sub-023,3,ignored_incorrect,1
sub-023,3,indicate_ready,25
sub-023,3,probe_not_shown,10
sub-023,3,probe_target,15
sub-023,3,remembered_correct,14
sub-023,3,to_ignore,73
sub-023,3,to_remember,127
sub-023,3,work_memory,25
sub-023,4,feedback_correct,24
sub-023,4,feedback_incorrect,1
sub-023,4,fixate,25
sub-023,4,ignored_correct,14
sub-023,4,indicate_ready,25
sub-023,4,probe_not_shown,15
sub-023,4,probe_target,10
sub-023,4,remembered_correct,10
sub-023,4,remembered_incorrect,1
sub-023,4,to_ignore,75
sub-023,4,to_remember,125
sub-023,4,work_memory,25
sub-023,5,feedback_correct,25
sub-023,5,fixate,25
sub-023,5,ignored_correct,10
sub-023,5,indicate_ready,25
sub-023,5,probe_not_shown,10
sub-023,5,probe_target,15
sub-023,5,remembered_correct,15
sub-023,5,to_ignore,75
sub-023,5,to_remember,125
sub-023,5,work_memory,25
sub-024,1,feedback_correct,2
sub-024,1,feedback_incorrect,2
sub-024,1,fixate,3
sub-024,1,ignored_correct,4
sub-024,1,ignored_incorrect,2
sub-024,1,indicate_ready,2
sub-024,1,probe_not_shown,7
sub-024,1,probe_target,11
sub-024,1,to_ignore,36
sub-024,1,to_remember,72
sub-024,1,work_memory,14
sub-024,2,feedback_correct,2
sub-024,2,feedback_incorrect,2
sub-024,2,fixate,2
sub-024,2,ignored_correct,1
sub-024,2,ignored_incorrect,2
sub-024,2,indicate_ready,1
sub-024,2,probe_not_shown,5
sub-024,2,probe_target,7
sub-024,2,to_ignore,22
sub-024,2,to_remember,34
sub-024,2,work_memory,7
sub-024,3,feedback_incorrect,4
sub-024,3,fixate,1
sub-024,3,ignored_correct,4
sub-024,3,ignored_incorrect,5
sub-024,3,indicate_ready,2
sub-024,3,probe_not_shown,7
sub-024,3,probe_target,6
sub-024,3,to_ignore,9
sub-024,3,to_remember,33
sub-024,3,work_memory,6
