feature,remember_subject_count,remember_subject_effect_mean,remember_subject_effect_median,remember_subject_effect_std,remember_positive_fraction,remember_negative_fraction,remember_direction_consistency,remember_direction,remember_robustness_class,correct_subject_count,correct_subject_effect_mean,correct_subject_effect_median,correct_subject_effect_std,correct_positive_fraction,correct_negative_fraction,correct_direction_consistency,correct_direction,correct_robustness_class,overall_robustness_class
beta_rel,22,0.01053903365996976,0.0168174660327096,0.07522371738077677,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.004003613901954628,-0.0116664289571332,0.28982661786688485,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
beta_temporal,22,-0.06158071509031959,0.012371174100029601,0.34340730879885206,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.0020193839783318964,0.0030800889060386,0.2078441837455416,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,weak
delta_abs,22,0.007228722856415695,-0.0031531389258265497,0.0982734110554901,0.5,0.5,0.5,mixed,mixed,17,0.0500998314822681,0.0751932060962368,0.1461365662717453,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
delta_central,22,-0.002242849784410514,-0.0058486340347987,0.09683486801740103,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.01594723148571994,0.053237904630791,0.16680331335635182,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,mixed_weak
delta_frontoparietal_diff,22,-0.008891798665416483,-0.0035818687385868,0.08336839340623792,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.0627843531353025,0.0965889029100864,0.1483474735535856,0.7058823529411765,0.29411764705882354,0.7058823529411765,positive,moderate,moderate
delta_frontoparietal_ratio,22,-0.008555437293700145,0.00552592003253765,0.08435002365245585,0.5,0.5,0.5,mixed,mixed,17,0.007618362637043261,0.0767235494216667,0.2102876425156623,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
delta_occipital,22,0.009659547749774438,0.0202226940751393,0.09945141378610052,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.03884197513017873,0.0337134178161626,0.1533051450676223,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
delta_parietal,22,0.007668092957052327,-0.0127862519011169,0.1016395423390251,0.4090909090909091,0.5909090909090909,0.5909090909090909,negative,weak,17,0.042145890738078534,0.0816931621013528,0.12597000517329635,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
delta_rel,22,0.012862226458615516,0.0100134032748007,0.1057295040378319,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.07439446030727782,-0.0181843987718074,0.2665142152639937,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
delta_temporal,22,-0.004455897646301734,0.010532915525169599,0.07787213633205102,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.05208933196612908,0.0902600490670809,0.14132487911865516,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
delta_theta_ratio,22,-0.00018999032316373288,-0.0103091462388365,0.0921890152883362,0.4090909090909091,0.5909090909090909,0.5909090909090909,negative,weak,17,-0.055106454857458256,0.0119751868871558,0.2208501199178265,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,weak
gamma_abs,22,0.025495370910866674,0.027636058275061652,0.14602662106128272,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.05686524273293527,-0.0685925280951577,0.4424956019022688,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
gamma_central,22,0.014558284246406573,0.0427861302894467,0.15953061762230974,0.6363636363636364,0.36363636363636365,0.6363636363636364,positive,weak,17,-0.18547637333133052,-0.0566883528600988,0.4396663151475614,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
gamma_frontal,22,0.020143744628534934,0.0143858938803237,0.18286675129026012,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.018570855272571345,-0.0854695744567192,0.3811722512965448,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
gamma_frontoparietal_ratio,22,0.026023240242854986,-0.03536198003882305,0.2505133871276597,0.4090909090909091,0.5909090909090909,0.5909090909090909,negative,weak,17,0.0009702615712471755,-0.1482127749572843,0.38680912890980945,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
gamma_occipital,22,0.023031090473266857,0.0133513575859867,0.09783606291891933,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.08945879593248873,-0.0548388597736076,0.38489988472288655,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
gamma_parietal,22,0.018942058685776395,0.02026889488011765,0.1359139147136409,0.6363636363636364,0.36363636363636365,0.6363636363636364,positive,weak,17,-0.05958862522387283,-0.1006162409118598,0.38754553486078297,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
gamma_rel,22,0.02631386588803555,0.0210692636781099,0.12656435054999504,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.10166472404316662,-0.0680082285851119,0.35990353611203485,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
gamma_temporal,22,-0.05651817964866923,0.02027048990149495,0.34933108581829925,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.03680055328585214,-0.1385081681207297,0.39724021572678386,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
theta_abs,22,-0.0029891438300134214,0.0321264622211444,0.11225530506304145,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.09306439261390705,0.1011817885579857,0.25249170280926436,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_alpha_central_ratio,22,0.024055814630122893,0.0018794202919669499,0.09713182792905818,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.019230682046213178,0.024672152042746,0.16781118242260068,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
theta_alpha_frontal_ratio,22,0.010202402386540039,0.0102901272273364,0.08506375244039237,0.6363636363636364,0.36363636363636365,0.6363636363636364,positive,weak,17,0.05565969462472302,0.0808250903691507,0.23154185563218666,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_alpha_occipital_ratio,22,0.019958592202797092,-0.00039517783826780004,0.08859498265351957,0.5,0.5,0.5,mixed,mixed,17,0.07878043065566702,0.0375691400620294,0.17846517928088632,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_alpha_parietal_ratio,22,0.01811562122035374,-0.01519353624041025,0.1330299133616638,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.057607059823141175,0.0484739848887195,0.19231638284508099,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_alpha_ratio,22,0.013720792059534921,0.0072135815711985,0.07706401896073187,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.05985120385013264,0.0618279945127793,0.19921102669491386,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_alpha_temporal_ratio,22,0.0003842089452644267,-0.004374930220801349,0.10619045852309578,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.058508311526769,-0.019445121900486,0.18447728512064815,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
theta_beta_ratio,22,0.004779497052755068,0.00875205737736785,0.10498251820987087,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.05244258158047268,0.0847662864916092,0.31370395308963495,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_central,22,-0.004115907282348823,0.011607086792101099,0.11360580080623109,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.11307711641494934,0.1026073676032386,0.31435629645322627,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
theta_frontoparietal_diff,22,0.007216404476452345,0.0012829558183184,0.12557707040339722,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.006159832855024103,-0.0620817786206806,0.15181070840408203,0.47058823529411764,0.5294117647058824,0.5294117647058824,negative,mixed,mixed_weak
theta_frontoparietal_ratio,22,0.007059147266353017,0.01235521432324275,0.11787734983533393,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.03877004880421776,-0.0184003772783559,0.13190086478865548,0.47058823529411764,0.5294117647058824,0.5294117647058824,negative,mixed,mixed_weak
theta_occipital,22,0.001496081143524913,0.0100555128668375,0.09250453531073323,0.5,0.5,0.5,mixed,mixed,17,0.07227551076487133,0.0680261649250033,0.1812572203455097,0.7058823529411765,0.29411764705882354,0.7058823529411765,positive,moderate,moderate
theta_parietal,22,-0.010798479725520525,0.0151709516428865,0.11772190287730198,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.08155791977439754,0.1098504300048916,0.20903483711217138,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
theta_rel,22,-0.014536550484554562,-0.00514433645290715,0.12395897405230939,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.08679106636054519,0.0267486725345396,0.3271216947006907,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,mixed_weak
theta_temporal,22,-0.0033958097139939105,0.00229113186847875,0.08968603512669822,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.10826577717700087,0.0660816722314345,0.21663135631066407,0.7058823529411765,0.29411764705882354,0.7058823529411765,positive,moderate,moderate
