target,model,fold,subject,n_trials,accuracy,balanced_accuracy,f1,roc_auc
correct,logistic_regression,4,sub-018,976,0.3422131147540984,0.5062843676355067,0.48966613672496023,0.5309448995623387
correct,logistic_regression,5,sub-003,1178,0.7886247877758913,,0.8818224964404366,
correct,logistic_regression,5,sub-009,1335,0.7056179775280899,0.4870420888542479,0.8254109284762328,0.4745638227711494
correct,logistic_regression,5,sub-012,461,0.6052060737527115,,0.754054054054054,
correct,logistic_regression,5,sub-017,463,0.7904967602591793,0.4977760902581905,0.8812729498164015,0.44933825124755916
correct,logistic_regression,5,sub-019,1026,0.37816764132553604,0.441243275552899,0.5245901639344263,0.42278840406455476
correct,random_forest,1,sub-007,828,0.9855072463768116,0.5,0.9927007299270073,0.34814133986928103
correct,random_forest,1,sub-015,320,1.0,,1.0,
correct,random_forest,1,sub-020,981,0.9714576962283384,0.5,0.9855222337125129,0.5035789236995952
correct,random_forest,1,sub-022,1862,0.9473684210526315,0.5,0.972972972972973,0.5586705770743672
correct,random_forest,1,sub-024,270,0.040740740740740744,0.5,0.07829181494661921,0.4073359073359073
correct,random_forest,2,sub-004,747,0.9143239625167336,0.49278499278499277,0.9552447552447553,0.4573245684356796
correct,random_forest,2,sub-008,1064,0.9360902255639098,0.5,0.9669902912621359,0.47312780533900306
correct,random_forest,2,sub-016,472,1.0,,1.0,
correct,random_forest,2,sub-023,1750,0.96,0.5,0.9795918367346939,0.5811139455782313
correct,random_forest,3,sub-001,545,0.9614678899082569,0.5,0.980355472404116,0.37504543802253726
correct,random_forest,3,sub-006,56,1.0,,1.0,
correct,random_forest,3,sub-010,944,0.9491525423728814,0.5,0.9739130434782609,0.45168340773809523
correct,random_forest,3,sub-011,1397,0.9513242662848962,0.5,0.97505502567865,0.5194197317753286
correct,random_forest,3,sub-021,958,0.9853862212943633,0.5,0.9926393270241851,0.3082627118644068
correct,random_forest,4,sub-002,1193,1.0,,1.0,
correct,random_forest,4,sub-005,1296,0.9459876543209876,0.5019787286668316,0.9722222222222222,0.37134398961167453
correct,random_forest,4,sub-014,945,0.9058201058201059,0.49263038548752835,0.9505280711506392,0.4476838354389375
correct,random_forest,4,sub-018,976,0.9456967213114754,0.4920042643923241,0.9720905739863086,0.48494837840870836
correct,random_forest,5,sub-003,1178,1.0,,1.0,
correct,random_forest,5,sub-009,1335,0.9610486891385768,0.5,0.9801375095492743,0.5079666047125129
correct,random_forest,5,sub-012,461,1.0,,1.0,
correct,random_forest,5,sub-017,463,0.9049676025917927,0.5,0.9501133786848073,0.41389129963115645
correct,random_forest,5,sub-019,1026,0.9307992202729045,0.49947698744769875,0.9641595153962645,0.47011356843992824
