file,subject,channels,samples,sampling_rate,trials_eeglab,fdt_exists,data_std,data_min,data_max,median_channel_std,max_channel_std,flat_channels,channels_over_5x,channels_over_10x
sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,sub-008,71.0,218911.0,250.0,1.0,True,46.18387985229492,-873.5042724609375,1000.0001220703125,29.36642074584961,127.05235290527344,0,0,0
sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,sub-008,71.0,189474.0,250.0,1.0,True,50.95878982543945,-861.7826538085938,1000.0001220703125,22.673391342163086,127.30196380615234,0,1,0
sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,sub-008,71.0,329898.0,250.0,1.0,True,73.28362274169922,-1000.0,1000.0001220703125,41.333091735839844,175.93353271484375,0,0,0
sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,sub-009,71.0,153971.0,250.0,1.0,True,25.674236297607422,-1000.0,501.8315734863281,18.020267486572266,67.37672424316406,0,0,0
sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,sub-009,71.0,157195.0,250.0,1.0,True,58.67884826660156,-1000.0,1000.0001220703125,18.304004669189453,312.25311279296875,0,3,1
sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,sub-009,71.0,156203.0,250.0,1.0,True,37.406124114990234,-1000.0,1000.0001220703125,16.884990692138672,134.1519775390625,0,5,0
sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,sub-009,71.0,159257.0,250.0,1.0,True,19.291259765625,-571.6727905273438,298.6569519042969,17.111717224121094,46.21167755126953,0,0,0
sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,sub-010,71.0,154877.0,250.0,1.0,True,29.78766441345215,-489.133056640625,413.4310607910156,24.651437759399414,56.43696975708008,0,0,0
sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,sub-010,71.0,148326.0,250.0,1.0,True,28.627172470092773,-598.5347900390625,565.81201171875,22.379976272583008,57.46257019042969,0,0,0
sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,sub-010,71.0,148571.0,250.0,1.0,True,29.978561401367188,-715.7508544921875,603.9072265625,25.36879539489746,58.14653778076172,0,0,0
sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,sub-010,71.0,147960.0,250.0,1.0,True,33.118812561035156,-884.7374877929688,685.4701538085938,25.036399841308594,62.30527877807617,0,0,0
sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,sub-011,71.0,187847.0,250.0,1.0,True,17.012405395507812,-327.4725036621094,342.12457275390625,15.97937297821045,41.673858642578125,0,0,0
sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,sub-011,71.0,191647.0,250.0,1.0,True,18.548355102539062,-414.40777587890625,250.3052978515625,15.243579864501953,42.902557373046875,0,0,0
sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,sub-011,71.0,212631.0,250.0,1.0,True,19.397829055786133,-417.33819580078125,537.9732055664062,15.736797332763672,37.802467346191406,0,0,0
sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,sub-011,71.0,203451.0,250.0,1.0,True,22.747615814208984,-471.5506591796875,617.0941162109375,16.46565818786621,70.16104888916016,0,0,0
sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,sub-012,71.0,136499.0,250.0,1.0,True,50.80910110473633,-830.5250244140625,1000.0001220703125,46.417781829833984,125.58601379394531,0,0,0
sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,sub-012,71.0,140935.0,250.0,1.0,True,52.11122512817383,-808.0586547851562,983.8828125,44.486846923828125,90.69566345214844,0,0,0
sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,sub-012,71.0,139549.0,250.0,1.0,True,53.15056610107422,-777.7777709960938,1000.0001220703125,46.45098876953125,143.81614685058594,0,0,0
sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,sub-014,71.0,588801.0,1000.0,1.0,True,43.78190994262695,-500.0,499.9847412109375,31.6463565826416,97.43376922607422,0,0,0
sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,sub-014,71.0,606465.0,1000.0,1.0,True,41.10297393798828,-500.0,499.9847412109375,27.124725341796875,94.12510681152344,0,0,0
sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,sub-014,71.0,595967.0,1000.0,1.0,True,34.25751876831055,-500.0,499.9847412109375,27.692001342773438,77.58323669433594,0,0,0
sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,sub-015,71.0,299520.0,500.0,1.0,True,40.60906982421875,-500.0,499.9847412109375,30.599340438842773,67.69319915771484,0,0,0
sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,sub-015,71.0,281601.0,500.0,1.0,True,24.750152587890625,-445.648193359375,465.02685546875,25.146379470825195,30.148719787597656,0,0,0
sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,sub-015,71.0,277759.0,500.0,1.0,True,26.434659957885742,-500.0,499.9847412109375,25.402414321899414,49.102115631103516,0,0,0
sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,sub-016,71.0,388097.0,500.0,1.0,True,36.3940544128418,-500.0,499.9847412109375,34.3806037902832,55.461341857910156,0,0,0
sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,sub-016,71.0,345857.0,500.0,1.0,True,40.403106689453125,-500.0,499.9847412109375,39.154205322265625,61.33667755126953,0,0,0
sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,sub-016,71.0,283391.0,500.0,1.0,True,33.69614028930664,-500.0,499.9847412109375,30.325237274169922,54.42211151123047,0,0,0
sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,sub-017,71.0,278273.0,500.0,1.0,True,40.391422271728516,-500.0,499.9847412109375,38.04266357421875,68.68277740478516,0,0,0
sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,sub-017,71.0,277505.0,500.0,1.0,True,37.34746551513672,-500.0,499.9847412109375,35.77650451660156,61.713863372802734,0,0,0
sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,sub-017,71.0,257791.0,500.0,1.0,True,36.78330993652344,-500.0,499.9847412109375,35.73127365112305,60.1851806640625,0,0,0
sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,sub-018,71.0,308992.0,500.0,1.0,True,27.97063446044922,-500.0,499.9847412109375,19.687719345092773,55.37357711791992,0,0,0
sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,sub-018,71.0,297472.0,500.0,1.0,True,19.72091293334961,-380.5694580078125,385.345458984375,17.0832576751709,52.72626876831055,0,0,0
sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,sub-018,71.0,292607.0,500.0,1.0,True,19.366315841674805,-291.3360595703125,398.1781005859375,17.374895095825195,34.16755676269531,0,0,0
sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,sub-019,71.0,319489.0,500.0,1.0,True,20.337961196899414,-500.0,499.9847412109375,16.154102325439453,61.54655075073242,0,0,0
sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,sub-019,71.0,313856.0,500.0,1.0,True,23.011821746826172,-438.568115234375,499.9847412109375,17.29829978942871,52.887290954589844,0,0,0
sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,sub-019,71.0,327679.0,500.0,1.0,True,24.34954261779785,-500.0,499.9847412109375,17.850540161132812,59.41230392456055,0,0,0
sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,sub-020,71.0,299777.0,500.0,1.0,True,20.70140838623047,-332.183837890625,346.710205078125,19.47901153564453,33.909149169921875,0,0,0
sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,sub-020,71.0,308481.0,500.0,1.0,True,23.88030242919922,-500.0,440.673828125,20.30655288696289,46.857269287109375,0,0,0
sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,sub-020,71.0,292607.0,500.0,1.0,True,21.386512756347656,-397.88818359375,322.2503662109375,18.493051528930664,45.71437454223633,0,0,0
sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,sub-021,71.0,357121.0,500.0,1.0,True,31.782894134521484,-500.0,499.9847412109375,23.770999908447266,78.21125793457031,0,0,0
sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,sub-021,71.0,395521.0,500.0,1.0,True,25.84554100036621,-500.0,499.9847412109375,19.65534019470215,51.80352020263672,0,0,0
sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,sub-021,71.0,340479.0,500.0,1.0,True,27.86160659790039,-500.0,499.9847412109375,19.214214324951172,68.60213470458984,0,0,0
sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,sub-022,71.0,289025.0,500.0586756077117,1.0,True,0.5740771889686584,-7.62939453125,7.629161834716797,0.5068252682685852,1.0693984031677246,0,0,0
sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,sub-022,71.0,242688.0,500.0586756077117,1.0,True,0.9314417243003845,-7.62939453125,7.629161834716797,0.6695844531059265,2.133549213409424,0,0,0
sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,sub-022,71.0,386818.0,500.0586756077117,1.0,True,0.6344240307807922,-7.62939453125,7.629161834716797,0.4605172276496887,1.9914875030517578,0,0,0
sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,sub-022,71.0,345856.0,500.0586756077117,1.0,True,0.564093291759491,-7.62939453125,7.629161834716797,0.4118511974811554,1.4689176082611084,0,0,0
sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,sub-022,71.0,348161.0,500.0586756077117,1.0,True,0.711244523525238,-7.62939453125,7.629161834716797,0.4888063371181488,2.281721830368042,0,0,0
sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,sub-022,71.0,404225.0,500.0586756077117,1.0,True,1.4914289712905884,-7.62939453125,7.629161834716797,0.47078388929367065,5.359138488769531,0,6,2
sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,sub-023,71.0,360961.0,500.0586756077117,1.0,True,0.4828895330429077,-7.62939453125,7.629161834716797,0.3902057111263275,1.3473286628723145,0,0,0
sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,sub-023,71.0,354305.0,500.0586756077117,1.0,True,0.4113033711910248,-7.62939453125,7.629161834716797,0.3189307749271393,0.9970647096633911,0,0,0
sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,sub-023,71.0,356864.0,500.0586756077117,1.0,True,0.6065271496772766,-7.62939453125,7.629161834716797,0.5105071663856506,1.0900721549987793,0,0,0
sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,sub-023,71.0,339201.0,500.0586756077117,1.0,True,0.6681010723114014,-7.62939453125,7.629161834716797,0.444604754447937,1.3577178716659546,0,0,0
sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,sub-023,71.0,309505.0,500.0586756077117,1.0,True,0.44964906573295593,-7.62939453125,7.629161834716797,0.3052525222301483,1.2115157842636108,0,0,0
sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,sub-024,71.0,284929.0,500.0,1.0,True,38.51338577270508,-500.0,499.9847412109375,36.075950622558594,62.825443267822266,0,0,0
sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,sub-024,71.0,281601.0,500.0,1.0,True,42.54304504394531,-500.0,499.9847412109375,37.745784759521484,79.41023254394531,0,0,0
sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,sub-024,71.0,283391.0,500.0,1.0,True,43.29465103149414,-500.0,499.9847412109375,37.38459777832031,71.51908111572266,0,0,0
