target,feature,mean_difference,cohen_d,abs_cohen_d,p_value,p_fdr,fdr_significant,effect_magnitude,statistical_direction,subject_count,subject_effect_mean,subject_effect_median,subject_effect_std,subject_effect_status,positive_fraction,negative_fraction,direction_consistency,direction_agreement,robustness_class,scientific_priority_score,scientific_rank,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,median_difference,t_stat,direction,significant_fdr
correct,delta_frontoparietal_ratio,-0.069527851805583,-0.0574309172897982,0.0574309172897982,0.0319909720903931,0.0459357547964619,True,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,39,1059,20008,1.3653281424165298,1.2958002906109467,1.0237731642555958,0.9829777258862789,1.0157831784273434,1.22007255979228,-0.0407954383693169,-2.146975824099827,negative,True
correct,theta_alpha_parietal_ratio,0.0862189671251065,0.0563982204593509,0.0563982204593509,0.0348835632970131,0.0488369886158184,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,40,1059,20008,1.3583158108832687,1.4445347780083753,0.992819805539837,1.024125753667016,1.280285025445438,1.5407776410381198,0.0313059481271791,2.112054858077687,positive,True
correct,alpha_frontoparietal_diff,-0.2457983468651301,-0.0643057311497376,0.0643057311497376,0.0403220684217714,0.0550740446736389,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,41,1059,20008,-1.6191819604859878,-1.864980307351118,-0.4925413445312691,-0.5953570809919919,3.796129585138073,3.823720691654748,-0.1028157364607228,-2.0527081569515917,negative,False
correct,alpha_frontoparietal_ratio,-0.0200598330384644,-0.0512989091636434,0.0512989091636434,0.0868031339206567,0.115737511894209,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,42,1059,20008,0.5884908981784834,0.568431065140019,0.5044348214626597,0.480124144530659,0.3700377896835199,0.392117422294702,-0.0243106769320007,-1.713927055130936,negative,False
correct,delta_temporal,-0.2506245280249448,-0.0329228639910991,0.0329228639910991,0.1658996761992047,0.2160553922594293,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,43,1059,20008,2.724240641908163,2.4736161138832182,1.4309408177573415,1.234178312660049,5.609927026776439,7.703896529752618,-0.1967625050972925,-1.386290949512485,negative,False
correct,gamma_abs,0.0129560515684556,0.0602417604193382,0.0602417604193382,0.1825671508665955,0.2323581920120306,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,44,1059,20008,0.1331259789121805,0.1460820304806362,0.1034048997832818,0.1075010037196615,0.3124551116204284,0.2086560274375206,0.0040961039363797,1.3337274953584817,positive,False
correct,delta_occipital,0.4761461561323274,0.0174660790826604,0.0174660790826604,0.2524430963874046,0.314151408837659,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,45,1059,20008,5.362145822148371,5.838291978280698,2.0575060160394174,1.967031864717606,11.92370834792415,27.83800129153247,-0.0904741513218114,1.1448134429603665,positive,False
correct,gamma_rel,-0.0012532810482517,-0.0383588679762054,0.0383588679762054,0.258524798658871,0.3147258418455821,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,46,1059,20008,0.0331706707517426,0.0319173897034909,0.0234208460716408,0.023176923774843,0.0352938300042268,0.0325280256118003,-0.0002439222967977,-1.1304417224405223,negative,False
correct,beta_rel,-0.0015474107262714,-0.0341803801682514,0.0341803801682514,0.2959002353491021,0.352561982543611,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,47,1059,20008,0.0685450647431852,0.0669976540169138,0.0596570245140746,0.0573598420523278,0.0470188407948696,0.0451776378262177,-0.0022971824617467,-1.0457356766213797,negative,False
correct,alpha_occipital,0.3252131024252485,0.0299271492552854,0.0299271492552854,0.3829604093532675,0.4467871442454787,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,48,1059,20008,4.023955499322334,4.349168601747582,1.2860647033559898,1.2946937061404098,11.867870594544655,10.811308458080289,0.00862900278442,0.8727879540657941,positive,False
