feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect
beta_occipital,0.4628800058935945,0.47534225768322813,0.012462251789633616,0.023275362901076253,0.43461507026335644,0.47157633723708653,0.03696126697373009,0.0746855289004953,0.023275362901076253
beta_frontoparietal_ratio,1.6236271625350625,1.5772510551834011,-0.04637610735166131,-0.022785337439007337,1.7679985410962407,1.5891910824230326,-0.17880745867320802,-0.08777576989615352,0.022785337439007337
delta_frontoparietal_diff,1.7471335006105284,1.496950922000221,-0.25018257861030735,-0.02231414254973492,3.052979816942811,1.5334688735747906,-1.5195109433680203,-0.11464024011080837,0.02231414254973492
theta_occipital,3.2674976529710515,3.1310560990293297,-0.13644155394172186,-0.02163959534103175,2.573875777170403,3.225378560753268,0.6515027835828651,0.11381125020457443,0.02163959534103175
alpha_beta_ratio,5.0148825026163415,4.913304001378668,-0.10157850123767354,-0.021025582412534643,4.44795868236746,4.986200218096953,0.538241535729493,0.11195433193129779,0.021025582412534643
beta_temporal,0.3781821408178008,0.3884181573726616,0.010236016554860783,0.020962056713889225,0.2828101388752191,0.3891441210972583,0.10633398222203921,0.25789985699195517,0.020962056713889225
theta_alpha_temporal_ratio,1.786948222383454,1.7465278061773086,-0.04042041620614545,-0.02057681158901851,1.7741754242133259,1.7642706125233545,-0.009904811689971371,-0.0053012104385756886,0.02057681158901851
theta_rel,0.2575103686544727,0.25491827043179127,-0.002592098222681416,-0.020283566787180646,0.2325931932349373,0.25733157183895344,0.024738378604016148,0.19585029817910937,0.020283566787180646
theta_frontoparietal_ratio,0.8632660938365917,0.8763715062722076,0.013105412435615915,0.019691890918360638,0.9615093347282855,0.8656380938191695,-0.09587124090911603,-0.13685179883593968,0.019691890918360638
theta_alpha_frontal_ratio,2.053132725134136,2.015673490956286,-0.03745923417785013,-0.018650231948457437,2.059159952269411,2.0311709308202515,-0.0279890214491596,-0.014184892109608573,0.018650231948457437
alpha_frontoparietal_diff,-1.890168248953389,-1.8217482822522455,0.06841996670114359,0.017912294929226583,-1.6191819604859878,-1.864980307351118,-0.24579834686513014,-0.06451484650902167,0.017912294929226583
delta_occipital,5.553824576242907,6.028620076189792,0.4747954999468851,0.017680763321520684,5.362145822148371,5.838291978280698,0.47614615613232747,0.022235148538403582,0.017680763321520684
beta_abs,0.3551834144345519,0.3610088161133898,0.005825401678837883,0.017638440312949893,0.3275863027432677,0.3600098331015069,0.032423530358239194,0.09806910858909428,0.017638440312949893
alpha_frontoparietal_ratio,0.5657641815763701,0.5724619842773324,0.006697802700962319,0.017176827081319825,0.5884908981784834,0.568431065140019,-0.02005983303846448,-0.052617682866464795,0.017176827081319825
alpha_abs,1.877276150512333,1.8313899520598664,-0.04588619845246655,-0.016953231143573718,1.5920737336602493,1.865859962254428,0.2737862285941788,0.10089946070730409,0.016953231143573718
beta_parietal,0.34680908396612703,0.35224393553923705,0.005434851573110022,0.015326615362477545,0.29744655119314456,0.3525618731700325,0.055115321976887954,0.1736973578565671,0.015326615362477545
alpha_beta_parietal_ratio,8.56093572036839,8.43786405980346,-0.12307166056493024,-0.015040484554271719,7.559328819946231,8.542842623178089,0.9835138032318582,0.12591745044669364,0.015040484554271719
theta_alpha_parietal_ratio,1.452020595849345,1.430479972091456,-0.02154062375788901,-0.014085711103640895,1.3583158108832687,1.4445347780083753,0.08621896712510657,0.06086623574644196,0.014085711103640895
theta_alpha_ratio,1.5881428165022198,1.5685730330350924,-0.019569783467127344,-0.013701658094376595,1.5621931275094916,1.5782094910205777,0.01601636351108615,0.01151777498466214,0.013701658094376595
alpha_frontal,1.2643985839530836,1.2401426569848744,-0.024255926968209218,-0.013680116419065944,1.0837893013379056,1.2599437016328603,0.17615440029495466,0.09967922708499657,0.013680116419065944
delta_rel,0.4140516977084771,0.41149521106952724,-0.002556486638949862,-0.013462859756315176,0.45013301210800816,0.4106648975537708,-0.03946811455423738,-0.19957098660222072,0.013462859756315176
beta_frontal,0.3765760423561036,0.3815292709890467,0.0049532286329431185,0.01114431834651846,0.3768550011239808,0.3794230988166014,0.002568097692620619,0.005040866008809802,0.01114431834651846
theta_alpha_occipital_ratio,1.8109567607961539,1.8408542195470687,0.029897458750914874,0.010304552927442518,1.6724515781258793,1.8355614994810998,0.1631099213552205,0.06313286204624675,0.010304552927442518
alpha_beta_temporal_ratio,4.549670398379389,4.510060932189444,-0.039609466189944875,-0.008012544356742838,4.558117521332053,4.52633818464675,-0.03177933668530297,-0.006267940342048481,0.008012544356742838
delta_frontoparietal_ratio,1.2942753574225057,1.303423779787817,0.009148422365311326,0.007639411861471295,1.3653281424165298,1.2958002906109467,-0.06952785180558307,-0.0619355100349861,0.007639411861471295
alpha_occipital,4.287411310201857,4.370165651510288,0.08275434130843085,0.0076368919819465,4.023955499322334,4.349168601747582,0.3252131024252485,0.028648370153766513,0.0076368919819465
gamma_rel,0.03184450565890656,0.03209214171404125,0.000247636055134684,0.007556082776717576,0.033170670751742674,0.0319173897034909,-0.0012532810482517726,-0.03692733572415694,0.007556082776717576
theta_alpha_central_ratio,1.577259569941138,1.5732364968714594,-0.00402307306967864,-0.0026642495031174184,1.573943495672917,1.5751106793955842,0.00116718372266722,0.0007989588912265519,0.0026642495031174184
gamma_frontal,0.1849084842535074,0.18540313264746439,0.0004946483939569923,0.0013836047864463,0.1942844810516815,0.1846980161819798,-0.009586464869701689,-0.019090542673292434,0.0013836047864463
