feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect,abs_correct_effect,remember_effect_magnitude,correct_effect_magnitude,subjects_with_remember_effect,subjects_with_correct_effect,remember_subject_mean,remember_subject_median,remember_subject_std,remember_positive_subject_fraction,correct_subject_mean,correct_subject_median,correct_subject_std,correct_positive_subject_fraction
alpha_rel,0.23032461614830269,0.23375556267848538,0.0034309465301826936,0.025343955025525205,0.21555805916212645,0.23308848688687087,0.01753042772474442,0.1293169274816491,0.025343955025525205,0.1293169274816491,negligible,negligible,22,17,-0.0031567144845136407,0.0027394348243676286,0.10194349998764117,0.5454545454545454,0.05097832355011288,0.04545044633687162,0.17756023688398817,0.6470588235294118
alpha_temporal,1.4028677278763984,1.3520911059344665,-0.05077662194193189,-0.025301122553453754,1.1847106409695654,1.3850773742871143,0.20036673331754895,0.10273524043632445,0.025301122553453754,0.10273524043632445,negligible,negligible,22,17,0.016296869622871694,0.02501879917891104,0.0970860300322216,0.6818181818181818,0.02724863589291778,0.025934850364975837,0.1769982665570434,0.5882352941176471
alpha_beta_frontal_ratio,4.02220049274869,3.9078841853841766,-0.11431630736451304,-0.02504932684204819,3.3967312878888962,3.9892574387109416,0.5925261508220454,0.13179849162898902,0.02504932684204819,0.13179849162898902,negligible,negligible,22,17,0.006868067233128455,-0.00017555386438579043,0.1392333462387551,0.5,0.011768877838233034,0.10523865118797472,0.29770901597640115,0.5882352941176471
beta_occipital,0.4628800058935945,0.47534225768322813,0.012462251789633616,0.023275362901076253,0.43461507026335644,0.47157633723708653,0.03696126697373009,0.0746855289004953,0.023275362901076253,0.0746855289004953,negligible,negligible,22,17,-0.01133230679065539,0.010083622287565078,0.10972234743933004,0.5909090909090909,0.05622197652916972,0.07551273077334206,0.32853239410923574,0.5882352941176471
beta_frontoparietal_ratio,1.6236271625350625,1.5772510551834011,-0.04637610735166131,-0.022785337439007337,1.7679985410962407,1.5891910824230326,-0.17880745867320802,-0.08777576989615354,0.022785337439007337,0.08777576989615354,negligible,negligible,22,17,0.009995618660365803,0.02504220455297277,0.15818918243208374,0.5909090909090909,-0.04525945894883751,-0.07802817155664953,0.35460625384888245,0.35294117647058826
delta_frontoparietal_diff,1.7471335006105284,1.496950922000221,-0.25018257861030735,-0.02231414254973492,3.052979816942811,1.5334688735747906,-1.5195109433680203,-0.11464024011080838,0.02231414254973492,0.11464024011080838,negligible,negligible,22,17,-0.008891798665416482,-0.0035818687385868577,0.08336839340623793,0.45454545454545453,0.06278435313530253,0.0965889029100864,0.14834747355358563,0.7058823529411765
theta_occipital,3.2674976529710515,3.1310560990293297,-0.13644155394172186,-0.02163959534103175,2.573875777170403,3.225378560753268,0.6515027835828651,0.11381125020457443,0.02163959534103175,0.11381125020457443,negligible,negligible,22,17,0.001496081143524928,0.010055512866837518,0.09250453531073324,0.5,0.07227551076487136,0.06802616492500331,0.18125722034550973,0.7058823529411765
alpha_beta_ratio,5.0148825026163415,4.913304001378668,-0.10157850123767354,-0.021025582412534643,4.44795868236746,4.986200218096953,0.538241535729493,0.11195433193129779,0.021025582412534643,0.11195433193129779,negligible,negligible,22,17,-0.004946131824715724,1.6431486966056365e-05,0.13890652919164415,0.5,0.0461803906299057,0.027962344081358056,0.30006892087282655,0.6470588235294118
beta_temporal,0.3781821408178008,0.3884181573726616,0.010236016554860783,0.020962056713889222,0.2828101388752191,0.3891441210972583,0.10633398222203921,0.25789985699195517,0.020962056713889222,0.25789985699195517,negligible,small,22,17,-0.061580715090319586,0.012371174100029646,0.34340730879885206,0.5909090909090909,0.0020193839783318947,0.003080088906038684,0.20784418374554164,0.5294117647058824
theta_alpha_temporal_ratio,1.786948222383454,1.7465278061773086,-0.04042041620614545,-0.02057681158901851,1.7741754242133259,1.7642706125233545,-0.009904811689971371,-0.0053012104385756886,0.02057681158901851,0.0053012104385756886,negligible,negligible,22,17,0.00038420894526441614,-0.004374930220801404,0.10619045852309582,0.45454545454545453,0.05850831152676899,-0.01944512190048608,0.1844772851206482,0.4117647058823529
theta_rel,0.2575103686544727,0.25491827043179127,-0.002592098222681416,-0.020283566787180646,0.2325931932349373,0.25733157183895344,0.024738378604016148,0.19585029817910937,0.020283566787180646,0.19585029817910937,negligible,negligible,22,17,-0.01453655048455457,-0.005144336452907234,0.1239589740523094,0.45454545454545453,0.08679106636054519,0.026748672534539646,0.3271216947006907,0.5294117647058824
theta_frontoparietal_ratio,0.8632660938365917,0.8763715062722076,0.013105412435615915,0.019691890918360638,0.9615093347282855,0.8656380938191695,-0.09587124090911603,-0.13685179883593968,0.019691890918360638,0.13685179883593968,negligible,negligible,22,17,0.00705914726635303,0.01235521432324279,0.11787734983533396,0.5454545454545454,-0.03877004880421776,-0.01840037727835594,0.1319008647886555,0.47058823529411764
theta_alpha_frontal_ratio,2.053132725134136,2.015673490956286,-0.03745923417785013,-0.018650231948457437,2.059159952269411,2.0311709308202515,-0.0279890214491596,-0.014184892109608573,0.018650231948457437,0.014184892109608573,negligible,negligible,22,17,0.010202402386540061,0.01029012722733643,0.08506375244039242,0.6363636363636364,0.05565969462472303,0.08082509036915073,0.23154185563218666,0.5882352941176471
alpha_frontoparietal_diff,-1.890168248953389,-1.8217482822522455,0.06841996670114359,0.017912294929226583,-1.6191819604859878,-1.864980307351118,-0.24579834686513014,-0.06451484650902167,0.017912294929226583,0.06451484650902167,negligible,negligible,22,17,0.009748937497810188,0.0002832907681079473,0.12176874117575982,0.5454545454545454,-0.030850199169255393,-0.04267945772459558,0.21678190976700745,0.47058823529411764
delta_occipital,5.553824576242907,6.028620076189792,0.4747954999468851,0.017680763321520687,5.362145822148371,5.838291978280698,0.47614615613232747,0.022235148538403582,0.017680763321520687,0.022235148538403582,negligible,negligible,22,17,0.00965954774977443,0.02022269407513932,0.09945141378610055,0.5454545454545454,0.03884197513017875,0.0337134178161626,0.15330514506762233,0.6470588235294118
beta_abs,0.3551834144345519,0.3610088161133898,0.005825401678837883,0.017638440312949893,0.3275863027432677,0.3600098331015069,0.032423530358239194,0.09806910858909428,0.017638440312949893,0.09806910858909428,negligible,negligible,22,17,0.011882839884920155,0.006428777562929166,0.12185296829922272,0.5454545454545454,0.0006445398145583864,0.022617076858297055,0.2999088933466001,0.5882352941176471
alpha_frontoparietal_ratio,0.5657641815763701,0.5724619842773324,0.006697802700962319,0.017176827081319825,0.5884908981784834,0.568431065140019,-0.02005983303846448,-0.052617682866464795,0.017176827081319825,0.052617682866464795,negligible,negligible,22,17,0.01227663886432327,-0.010858941748103427,0.11593365076515406,0.45454545454545453,-0.07059348720716957,-0.09355695081644029,0.2209857381499035,0.29411764705882354
alpha_abs,1.877276150512333,1.8313899520598664,-0.04588619845246655,-0.016953231143573718,1.5920737336602493,1.865859962254428,0.2737862285941788,0.10089946070730407,0.016953231143573718,0.10089946070730407,negligible,negligible,22,17,-0.004225080718999692,0.024014047540284002,0.14105147719885688,0.6363636363636364,0.003977169084874695,-0.031487327746929354,0.23583833064461296,0.4117647058823529
