subject,feature,remember_effect_size,correct_effect_size,remember_abs_effect,correct_abs_effect
sub-017,gamma_central,0.14584362862644396,0.14993608378941717,0.14584362862644396,0.14993608378941717
sub-017,delta_parietal,-0.10073721985915252,0.05038512539556697,0.10073721985915252,0.05038512539556697
sub-017,theta_parietal,-0.14255153480581495,-0.23993488731313276,0.14255153480581495,0.23993488731313276
sub-017,beta_parietal,-0.005753008091626597,0.03607540407099763,0.005753008091626597,0.03607540407099763
sub-017,gamma_parietal,0.10177056322039557,0.5255871293938431,0.10177056322039557,0.5255871293938431
sub-017,delta_occipital,-0.08970899252200663,0.13907356900612905,0.08970899252200663,0.13907356900612905
sub-017,theta_occipital,-0.08745218386802542,-0.1435529139745222,0.08745218386802542,0.1435529139745222
sub-017,alpha_occipital,-0.027902959523678834,-0.10265556187265415,0.027902959523678834,0.10265556187265415
sub-017,beta_occipital,0.05435107899644848,0.07551273077334206,0.05435107899644848,0.07551273077334206
sub-017,gamma_occipital,0.016045615003658593,0.3205850258865228,0.016045615003658593,0.3205850258865228
sub-017,delta_temporal,-0.07437879254490784,0.020851500156727612,0.07437879254490784,0.020851500156727612
sub-017,theta_temporal,-0.12797591333259628,-0.2685511040917275,0.12797591333259628,0.2685511040917275
sub-017,alpha_temporal,-0.12121101492596137,-0.29341562153701717,0.12121101492596137,0.29341562153701717
sub-017,beta_temporal,-0.08477894788770368,0.0652792050398612,0.08477894788770368,0.0652792050398612
sub-017,gamma_temporal,0.1240570947880705,0.5506477100587168,0.1240570947880705,0.5506477100587168
sub-017,theta_alpha_frontal_ratio,-0.09684774272567827,-0.11574679786586191,0.09684774272567827,0.11574679786586191
sub-017,alpha_beta_frontal_ratio,-0.0017436997569701945,-0.24546000206608745,0.0017436997569701945,0.24546000206608745
sub-017,theta_alpha_central_ratio,-0.03318316757578213,0.07530001830165416,0.03318316757578213,0.07530001830165416
sub-017,alpha_beta_central_ratio,-0.10868754938459196,-0.24792029134415436,0.10868754938459196,0.24792029134415436
sub-017,theta_alpha_parietal_ratio,-0.1724912513306973,-0.08210791050563683,0.1724912513306973,0.08210791050563683
sub-017,alpha_beta_parietal_ratio,-0.004198362513189337,-0.15056169970288474,0.004198362513189337,0.15056169970288474
sub-017,theta_alpha_occipital_ratio,-0.14067054607350904,0.06296374645873465,0.14067054607350904,0.06296374645873465
sub-017,alpha_beta_occipital_ratio,-0.054731399585262366,-0.063611898424495,0.054731399585262366,0.063611898424495
sub-017,theta_alpha_temporal_ratio,-0.07040512935178359,-0.03673981388985222,0.07040512935178359,0.03673981388985222
sub-017,alpha_beta_temporal_ratio,-0.0386584840735982,-0.2985937192707728,0.0386584840735982,0.2985937192707728
sub-017,delta_frontoparietal_diff,-0.10845392463807552,-0.05198588148668142,0.10845392463807552,0.05198588148668142
sub-017,delta_frontoparietal_ratio,-0.11345310905263811,0.07672354942166676,0.11345310905263811,0.07672354942166676
sub-017,theta_frontoparietal_diff,0.07895701913614164,0.022252633918895013,0.07895701913614164,0.022252633918895013
sub-017,theta_frontoparietal_ratio,-0.09130967130400248,-0.1421566819781293,0.09130967130400248,0.1421566819781293
sub-017,alpha_frontoparietal_diff,0.02275538589628999,0.08219970299800211,0.02275538589628999,0.08219970299800211
sub-017,alpha_frontoparietal_ratio,-0.12768181785505928,-0.1958575330183285,0.12768181785505928,0.1958575330183285
sub-017,beta_frontoparietal_diff,-0.08538256118561192,-0.025961828564287623,0.08538256118561192,0.025961828564287623
sub-017,beta_frontoparietal_ratio,-0.2034008462014353,0.000369414041685543,0.2034008462014353,0.000369414041685543
sub-017,gamma_frontoparietal_ratio,-0.16436063194289555,0.2182357862607423,0.16436063194289555,0.2182357862607423
sub-018,delta_abs,0.1400718756901657,-0.08974178337381673,0.1400718756901657,0.08974178337381673
sub-018,theta_abs,0.16882120571430656,0.14806264788557413,0.16882120571430656,0.14806264788557413
sub-018,alpha_abs,0.10728006032350423,-0.031487327746929354,0.10728006032350423,0.031487327746929354
sub-018,beta_abs,0.011275256614594697,-0.29464147180920264,0.011275256614594697,0.29464147180920264
sub-018,gamma_abs,-0.03460199228933865,-0.2711822566316816,0.03460199228933865,0.2711822566316816
sub-018,delta_rel,0.02745252817571597,-0.3804773774068687,0.02745252817571597,0.3804773774068687
sub-018,theta_rel,0.04912532468376122,0.39423479150417035,0.04912532468376122,0.39423479150417035
sub-018,alpha_rel,-0.040614392222265865,0.24217805736267348,0.040614392222265865,0.24217805736267348
sub-018,beta_rel,-0.14366544185864358,-0.06445198766223427,0.14366544185864358,0.06445198766223427
sub-018,gamma_rel,-0.10545379458091529,-0.2943393746390326,0.10545379458091529,0.2943393746390326
sub-018,theta_alpha_ratio,0.09103502819999751,0.11408880997426052,0.09103502819999751,0.11408880997426052
sub-018,theta_beta_ratio,0.16630043332768493,0.3846494400544577,0.16630043332768493,0.3846494400544577
sub-018,alpha_beta_ratio,0.054867463956584026,0.19739698458468355,0.054867463956584026,0.19739698458468355
sub-018,delta_theta_ratio,0.05390169949338409,-0.21754349073935766,0.05390169949338409,0.21754349073935766
sub-018,alpha_frontal,0.07608247463136772,-0.06267600153106233,0.07608247463136772,0.06267600153106233
sub-018,beta_frontal,-0.02519643494575211,-0.2701889070842655,0.02519643494575211,0.2701889070842655
sub-018,gamma_frontal,-0.04912833772437842,-0.2578542072489391,0.04912833772437842,0.2578542072489391
sub-018,delta_central,-0.0022208002599433804,-0.2796184579786244,0.0022208002599433804,0.2796184579786244
sub-018,theta_central,0.16521710347415866,0.221819666829169,0.16521710347415866,0.221819666829169
sub-018,alpha_central,0.0954411908084078,-0.07156383911885981,0.0954411908084078,0.07156383911885981
sub-018,beta_central,0.0036774124297046713,-0.21603493360855913,0.0036774124297046713,0.21603493360855913
sub-018,gamma_central,0.03465133087771122,-0.2518469631591624,0.03465133087771122,0.2518469631591624
sub-018,delta_parietal,0.1614451943048934,-0.1472111508655435,0.1614451943048934,0.1472111508655435
sub-018,theta_parietal,0.1603729794400515,0.13699410772308812,0.1603729794400515,0.13699410772308812
sub-018,beta_parietal,0.06836825393692524,-0.21920136288990405,0.06836825393692524,0.21920136288990405
sub-018,gamma_parietal,0.1091483813557119,-0.3749550410448228,0.1091483813557119,0.3749550410448228
sub-018,delta_occipital,0.05588419833257993,-0.22675694742397082,0.05588419833257993,0.22675694742397082
sub-018,theta_occipital,0.09388974209575682,0.08724055872306007,0.09388974209575682,0.08724055872306007
sub-018,alpha_occipital,0.035442308794188665,0.06524245046005668,0.035442308794188665,0.06524245046005668
sub-018,beta_occipital,0.049998409457480075,-0.09848890495353191,0.049998409457480075,0.09848890495353191
sub-018,gamma_occipital,0.06091879653220179,-0.009417339494546406,0.06091879653220179,0.009417339494546406
sub-018,delta_temporal,0.11368018747442986,0.01800243862992881,0.11368018747442986,0.01800243862992881
sub-018,theta_temporal,0.1081555701165381,0.0169359997096887,0.1081555701165381,0.0169359997096887
sub-018,alpha_temporal,0.1543416478168698,-0.11282743914064745,0.1543416478168698,0.11282743914064745
sub-018,beta_temporal,0.06016793197152401,-0.1871797435441863,0.06016793197152401,0.1871797435441863
sub-018,gamma_temporal,-0.021732144084938003,-0.3618543399011281,0.021732144084938003,0.3618543399011281
sub-018,theta_alpha_frontal_ratio,0.08472903483411659,0.19227185452188741,0.08472903483411659,0.19227185452188741
sub-018,alpha_beta_frontal_ratio,0.015729782172548404,0.24318403333724842,0.015729782172548404,0.24318403333724842
sub-018,theta_alpha_central_ratio,0.10800536255317626,0.10214526319216741,0.10800536255317626,0.10214526319216741
sub-018,alpha_beta_central_ratio,0.062114391487716136,0.09183577578633843,0.062114391487716136,0.09183577578633843
sub-018,theta_alpha_parietal_ratio,0.06294170282288744,0.030518701578056764,0.06294170282288744,0.030518701578056764
sub-018,alpha_beta_parietal_ratio,0.07678452287819429,0.22017560601957123,0.07678452287819429,0.22017560601957123
sub-018,theta_alpha_occipital_ratio,-0.003030375992097128,0.12849710503043066,0.003030375992097128,0.12849710503043066
sub-018,alpha_beta_occipital_ratio,0.002846169028417013,0.12910148697990115,0.002846169028417013,0.12910148697990115
sub-018,theta_alpha_temporal_ratio,0.06682575599534614,0.20514407055148176,0.06682575599534614,0.20514407055148176
sub-018,alpha_beta_temporal_ratio,0.08743301381065739,0.12897774594815856,0.08743301381065739,0.12897774594815856
sub-018,delta_frontoparietal_diff,-0.07241087216980853,0.1467279080473549,0.07241087216980853,0.1467279080473549
sub-018,delta_frontoparietal_ratio,-0.0038635962026276256,0.12437135283254291,0.0038635962026276256,0.12437135283254291
sub-018,theta_frontoparietal_diff,-0.10509460299307366,-0.10025162680342421,0.10509460299307366,0.10025162680342421
sub-018,theta_frontoparietal_ratio,0.05417443901449401,0.033011082723723724,0.05417443901449401,0.033011082723723724
sub-018,alpha_frontoparietal_diff,-0.11141228410508122,-0.11111461269862395,0.11141228410508122,0.11111461269862395
sub-018,alpha_frontoparietal_ratio,-0.00873023006493151,-0.1323947831236624,0.00873023006493151,0.1323947831236624
sub-018,beta_frontoparietal_diff,-0.07419034576329234,-0.21088706038878358,0.07419034576329234,0.21088706038878358
sub-018,beta_frontoparietal_ratio,-0.019098407190741132,-0.21018160700883334,0.019098407190741132,0.21018160700883334
sub-018,gamma_frontoparietal_ratio,-0.023574791524167724,-0.2615812490449953,0.023574791524167724,0.2615812490449953
sub-019,delta_abs,-0.015865956749947386,0.18370867505508534,0.015865956749947386,0.18370867505508534
sub-019,theta_abs,0.05243236131554174,0.23650241331840915,0.05243236131554174,0.23650241331840915
sub-019,alpha_abs,0.05523756100911938,0.008827637000000351,0.05523756100911938,0.008827637000000351
sub-019,beta_abs,0.10332032098869462,0.6586787215852185,0.10332032098869462,0.6586787215852185
sub-019,gamma_abs,0.009801711749306196,0.806569375867217,0.009801711749306196,0.806569375867217
sub-019,delta_rel,0.037140554530828956,-0.03494996608178664,0.037140554530828956,0.03494996608178664
sub-019,theta_rel,-0.007371857793445687,0.026748672534539646,0.007371857793445687,0.026748672534539646
sub-019,alpha_rel,-0.047852612273972,-0.19243044562975653,0.047852612273972,0.19243044562975653
sub-019,beta_rel,0.037908645019137065,0.37951795647462855,0.037908645019137065,0.37951795647462855
sub-019,gamma_rel,-0.011847049146206955,0.5128038430289514,0.011847049146206955,0.5128038430289514
sub-019,theta_alpha_ratio,-0.02427860573550981,0.15927496746184683,0.02427860573550981,0.15927496746184683
sub-019,theta_beta_ratio,-0.037036337401085785,-0.11537440436936469,0.037036337401085785,0.11537440436936469
sub-019,alpha_beta_ratio,-0.046567435320908505,-0.32555402587594945,0.046567435320908505,0.32555402587594945
sub-019,delta_theta_ratio,-0.0042553346840885275,0.05206476847175944,0.0042553346840885275,0.05206476847175944
sub-019,alpha_frontal,0.04815661561346487,0.17508900961315413,0.04815661561346487,0.17508900961315413
sub-019,beta_frontal,0.10367234469325284,0.7899462327001084,0.10367234469325284,0.7899462327001084
sub-019,gamma_frontal,0.005859786784474553,0.7877965876750761,0.005859786784474553,0.7877965876750761
sub-019,delta_central,-0.009476467809654112,0.17761430229912617,0.009476467809654112,0.17761430229912617
sub-019,theta_central,0.08661117833981224,0.23880155880514226,0.08661117833981224,0.23880155880514226
sub-019,alpha_central,0.09739943405646818,0.16087194485331766,0.09739943405646818,0.16087194485331766
sub-019,beta_central,0.07084104792281833,0.23657422184262838,0.07084104792281833,0.23657422184262838
sub-019,gamma_central,0.053055305652732414,0.4870761782791021,0.053055305652732414,0.4870761782791021
sub-019,delta_parietal,0.04799527261934475,0.16503207899487096,0.04799527261934475,0.16503207899487096
sub-019,theta_parietal,0.06228542609221884,0.1813373654439188,0.06228542609221884,0.1813373654439188
sub-019,beta_parietal,0.04804162781687245,0.06099673165168339,0.04804162781687245,0.06099673165168339
sub-019,gamma_parietal,0.061087403466286085,0.5146920333391285,0.061087403466286085,0.5146920333391285
sub-019,delta_occipital,0.056830768248291336,0.019219903816810182,0.056830768248291336,0.019219903816810182
sub-019,theta_occipital,0.05018838390516753,0.060862656443222266,0.05018838390516753,0.060862656443222266
sub-019,alpha_occipital,-0.002858899297328585,-0.12926319073911766,0.002858899297328585,0.12926319073911766
sub-019,beta_occipital,0.004291555410276624,-0.15648756167910916,0.004291555410276624,0.15648756167910916
sub-019,gamma_occipital,0.07045372177175707,0.4900720194573888,0.07045372177175707,0.4900720194573888
sub-019,delta_temporal,0.034472897474865025,0.22172484324494263,0.034472897474865025,0.22172484324494263
sub-019,theta_temporal,0.056653194523428894,0.20519600317921027,0.056653194523428894,0.20519600317921027
sub-019,alpha_temporal,0.09355799649895935,-0.009407514111138934,0.09355799649895935,0.009407514111138934
sub-019,beta_temporal,0.07293523662204447,0.31313168203551695,0.07293523662204447,0.31313168203551695
sub-019,gamma_temporal,0.027681451981979566,0.6423786050565463,0.027681451981979566,0.6423786050565463
sub-019,theta_alpha_frontal_ratio,0.008174794436400814,0.05408656096079092,0.008174794436400814,0.05408656096079092
sub-019,alpha_beta_frontal_ratio,-0.09547356809597639,-0.19631932178826494,0.09547356809597639,0.19631932178826494
sub-019,theta_alpha_central_ratio,0.0012181226221050867,0.03662487696759194,0.0012181226221050867,0.03662487696759194
sub-019,alpha_beta_central_ratio,0.04157800046429438,-0.06539969620341757,0.04157800046429438,0.06539969620341757
sub-019,theta_alpha_parietal_ratio,-0.04157374084726889,0.22855474954347593,0.04157374084726889,0.22855474954347593
sub-019,alpha_beta_parietal_ratio,-0.0007082374776261764,-0.09115834255880184,0.0007082374776261764,0.09115834255880184
sub-019,theta_alpha_occipital_ratio,-0.020946093715538273,0.2739780189736815,0.020946093715538273,0.2739780189736815
sub-019,alpha_beta_occipital_ratio,0.035913963266734635,0.031855992839748916,0.035913963266734635,0.031855992839748916
sub-019,theta_alpha_temporal_ratio,-0.07953365018449025,0.15759150382274592,0.07953365018449025,0.15759150382274592
sub-019,alpha_beta_temporal_ratio,0.04131577791113083,-0.20475131490156256,0.04131577791113083,0.20475131490156256
sub-019,delta_frontoparietal_diff,-0.06307387556876151,0.17033977972055292,0.06307387556876151,0.17033977972055292
sub-019,delta_frontoparietal_ratio,-0.07024761937792755,0.24963058266064456,0.07024761937792755,0.24963058266064456
sub-019,theta_frontoparietal_diff,-0.07098228385379252,-0.06852315587913284,0.07098228385379252,0.06852315587913284
sub-019,theta_frontoparietal_ratio,-0.01615497801863558,0.11212504325168889,0.01615497801863558,0.11212504325168889
sub-019,alpha_frontoparietal_diff,-0.04212074099336121,0.20217488400137318,0.04212074099336121,0.20217488400137318
sub-019,alpha_frontoparietal_ratio,-0.08489640754478413,0.3666410798233448,0.08489640754478413,0.3666410798233448
sub-019,beta_frontoparietal_diff,0.08915649518334987,0.8213918448988781,0.08915649518334987,0.8213918448988781
sub-019,beta_frontoparietal_ratio,0.07746078861969222,0.7073358623158321,0.07746078861969222,0.7073358623158321
sub-019,gamma_frontoparietal_ratio,-0.061546153384476984,0.4361421891484296,0.061546153384476984,0.4361421891484296
sub-020,delta_abs,-0.007848383645221182,0.06215571397343909,0.007848383645221182,0.06215571397343909
sub-020,theta_abs,0.02534659529830084,-0.07674615743860723,0.02534659529830084,0.07674615743860723
sub-020,alpha_abs,-0.003259287980655405,0.01949522840604962,0.003259287980655405,0.01949522840604962
sub-020,beta_abs,-0.02270394764232064,0.13030043305903705,0.02270394764232064,0.13030043305903705
sub-020,gamma_abs,-0.18034795193183428,0.18834718960819188,0.18034795193183428,0.18834718960819188
sub-020,delta_rel,-0.0062478071652724695,-0.0010912924727039725,0.0062478071652724695,0.0010912924727039725
sub-020,theta_rel,0.03402439244470334,-0.07214105455733708,0.03402439244470334,0.07214105455733708
sub-020,alpha_rel,-0.03371346822188985,0.17275256644593787,0.03371346822188985,0.17275256644593787
sub-020,beta_rel,-0.0075892880584219995,-0.011666428957133252,0.0075892880584219995,0.011666428957133252
sub-020,gamma_rel,-0.1394600881409459,0.019373524673539692,0.1394600881409459,0.019373524673539692
sub-020,theta_alpha_ratio,0.03771772698437554,-0.11032225942419369,0.03771772698437554,0.11032225942419369
sub-020,theta_beta_ratio,0.037411044545925184,-0.18251217040146975,0.037411044545925184,0.18251217040146975
sub-020,alpha_beta_ratio,0.053437136852182626,0.007145954511180849,0.053437136852182626,0.007145954511180849
sub-020,delta_theta_ratio,-0.010372589344845959,-0.047081768234531245,0.010372589344845959,0.047081768234531245
sub-020,alpha_frontal,0.043589245546014184,-0.06947591157195139,0.043589245546014184,0.06947591157195139
sub-020,beta_frontal,-0.11690881949642845,0.2972530844772484,0.11690881949642845,0.2972530844772484
sub-020,gamma_frontal,-0.23400357344439374,0.3707660520486659,0.23400357344439374,0.3707660520486659
sub-020,delta_central,-0.00957717800936114,-0.0014986995073166282,0.00957717800936114,0.0014986995073166282
sub-020,theta_central,0.011119060857716556,-0.07784970586953402,0.011119060857716556,0.07784970586953402
sub-020,alpha_central,-0.026900697962908972,0.16200369592332173,0.026900697962908972,0.16200369592332173
sub-020,beta_central,0.01328091326154509,-0.10422676590618625,0.01328091326154509,0.10422676590618625
sub-020,gamma_central,-0.045298901354839036,-0.3463064385980777,0.045298901354839036,0.3463064385980777
sub-020,delta_parietal,-0.01193756579520324,-0.0243902808792046,0.01193756579520324,0.0243902808792046
sub-020,theta_parietal,0.020367095275010898,-0.12348386356923786,0.020367095275010898,0.12348386356923786
sub-020,beta_parietal,0.0586333125014099,-0.062343594637660954,0.0586333125014099,0.062343594637660954
sub-020,gamma_parietal,-0.05365841178255763,-0.12001843037153842,0.05365841178255763,0.12001843037153842
sub-020,delta_occipital,0.007064018665874533,-0.040857029406911174,0.007064018665874533,0.040857029406911174
sub-020,theta_occipital,-0.009992643201688462,0.0007148170343382995,0.009992643201688462,0.0007148170343382995
sub-020,alpha_occipital,-0.0883999233800702,0.12777514088664033,0.0883999233800702,0.12777514088664033
sub-020,beta_occipital,0.07874665591129869,0.1921865345014595,0.07874665591129869,0.1921865345014595
sub-020,gamma_occipital,-0.12108248496262365,-0.22097000015564006,0.12108248496262365,0.22097000015564006
sub-020,delta_temporal,-0.033815739843916975,0.24695083255781194,0.033815739843916975,0.24695083255781194
sub-020,theta_temporal,0.03508989853283502,0.2974579899285791,0.03508989853283502,0.2974579899285791
sub-020,alpha_temporal,0.03118059654782876,0.3591150891444964,0.03118059654782876,0.3591150891444964
sub-020,beta_temporal,0.03585767233281602,-0.15517325778822388,0.03585767233281602,0.15517325778822388
sub-020,gamma_temporal,-0.023171385376631767,-0.3638310210476376,0.023171385376631767,0.3638310210476376
sub-020,theta_alpha_frontal_ratio,0.01489911050779359,-0.0953314000874543,0.01489911050779359,0.0953314000874543
sub-020,alpha_beta_frontal_ratio,0.16177110317296547,-0.15829814675020232,0.16177110317296547,0.15829814675020232
sub-020,theta_alpha_central_ratio,0.05157695618109775,-0.20395830417251107,0.05157695618109775,0.20395830417251107
sub-020,alpha_beta_central_ratio,-0.02456725684014248,0.24590265999671562,0.02456725684014248,0.24590265999671562
