target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2
correct,gamma_occipital,0.0132401140095298,0.1047373741240041,0.1047373741240041,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.00534458703719855,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.4637278889950282,1.0,0.0,0.8,0.40045692961929497,0.5,0.5659776652106867,moderate_multilayer_evidence,25,3
correct,theta_central,0.3493210928413732,0.1528240647860177,0.1528240647860177,7.168466810680754e-09,True,negligible,significant_but_weak,4.0,positive,0.00178101083502665,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,opposite_direction,significant_both_targets,0.6782157004153158,1.0,0.0,0.8,0.10679623386318915,0.25,0.565233548490148,moderate_multilayer_evidence,26,12
correct,alpha_beta_ratio,0.538241535729493,0.1115741527988019,0.1115741527988019,0.0009296003114551,True,negligible,significant_but_weak,4.0,positive,0.00508840732624855,0.9,0.004596793165952649,16,0.1015785012376735,0.538241535729493,target_dissociated,opposite_direction,significant_correct_only,0.49422293190470107,1.0,0.0,0.9,0.3512890307082364,0.25,0.5636846360469989,moderate_multilayer_evidence,27,30
remember,gamma_parietal,0.0067033358779924,0.0613886340082469,0.0613886340082469,6.381952089290735e-05,True,negligible,significant_but_weak,3.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.27037342298265965,1.0,0.0,1.0,0.41749425552666347,0.5,0.5593427812983313,moderate_multilayer_evidence,2,2
remember,delta_parietal,-0.2250862982627182,-0.0372919849166802,0.0372919849166802,0.0286871524647912,True,negligible,significant_but_weak,3.0,negative,0.0024990489715959953,1.0,0.0024990489715959953,14,0.2250862982627182,0.7315767031354068,target_shared,same_direction,significant_both_targets,0.1628917590324381,1.0,0.0,1.0,0.15987579439280297,1.0,0.5567105191973899,moderate_multilayer_evidence,3,1
correct,theta_occipital,0.6515027835828651,0.1035544831678395,0.1035544831678395,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0042180341234053995,0.9,0.0038249567778256503,18,0.1364415539417218,0.6515027835828651,target_dissociated,opposite_direction,significant_correct_only,0.45845167454059865,1.0,0.0,0.9,0.28694839926991567,0.25,0.5483077585621413,moderate_multilayer_evidence,28,32
remember,delta_temporal,-0.3563561735405196,-0.0468236166143879,0.0468236166143879,0.0055163795352057,True,negligible,significant_but_weak,3.0,negative,0.0016653490074815,0.9,0.001449890500627,36,0.3563561735405196,0.2506245280249448,target_shared,same_direction,significant_remember_only,0.20540703288389003,1.0,0.0,0.9,0.09824616017841122,1.0,0.5411763742388136,moderate_multilayer_evidence,4,26
remember,gamma_frontoparietal_ratio,-0.2465378010723733,-0.0472393923056144,0.0472393923056144,0.0043090467750375,True,negligible,significant_but_weak,3.0,negative,0.0009299386728895,0.9,0.0008261788928065499,42,0.2465378010723733,0.5796949672324905,target_shared,same_direction,significant_both_targets,0.20726157551980856,1.0,0.0,0.9,0.04388239399242151,1.0,0.5362036332791943,moderate_multilayer_evidence,5,5
remember,gamma_central,0.0055102751278641,0.0350651750312705,0.0350651750312705,0.0298705373269322,True,negligible,significant_but_weak,3.0,positive,0.0067983480610636,1.0,0.0067983480610636,8,0.0055102751278641,0.0032240221168111,weak_cross_target_pattern,same_direction,significant_remember_only,0.15295920654868214,1.0,0.0,1.0,0.4776930448032486,0.5,0.5360091061174954,moderate_multilayer_evidence,6,27
correct,alpha_rel,0.0175304277247444,0.1294403336185308,0.1294403336185308,0.0001465080516652,True,negligible,significant_but_weak,4.0,positive,0.00047769841972693857,0.7,0.00037629714896557316,43,0.0034309465301826,0.0175304277247444,weak_cross_target_pattern,same_direction,significant_correct_only,0.573913964281981,1.0,0.0,0.7,0.010451420525802889,0.5,0.5345236331230755,moderate_multilayer_evidence,29,37
correct,theta_frontoparietal_diff,-0.3007786594133896,-0.0980979543414767,0.0980979543414767,0.000323467232544,True,negligible,significant_but_weak,3.0,negative,0.00248887261693465,0.9,0.0023229997505376998,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.4341131536358361,1.0,0.0,0.9,0.15912352733941434,0.25,0.5294406411429005,moderate_multilayer_evidence,30,13
correct,alpha_frontal,0.1761544002949546,0.099496406033894,0.099496406033894,0.0029946881408546,True,negligible,significant_but_weak,3.0,positive,0.0021939683097671,0.9,0.00205899286514415,34,0.0242559269682092,0.1761544002949546,target_dissociated,opposite_direction,significant_correct_only,0.44035086387861083,1.0,0.0,0.9,0.137323305003686,0.25,0.5288200464700213,moderate_multilayer_evidence,31,36
correct,beta_central,0.0159778114775971,0.0771164318879058,0.0771164318879058,0.0055011199100795,True,negligible,significant_but_weak,3.0,positive,0.0021501764855749,0.9,0.00186987814748005,30,0.0062002185686043,0.0159778114775971,weak_cross_target_pattern,same_direction,significant_correct_only,0.3405263259840204,1.0,0.0,0.9,0.13408608031529007,0.5,0.5285401895275341,moderate_multilayer_evidence,32,33
remember,theta_abs,-0.1930376038406147,-0.0564929984650997,0.0564929984650997,0.0004393692914317,True,negligible,significant_but_weak,3.0,negative,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.2485367330648294,1.0,0.0,0.8,0.7993104713636985,0.25,0.5270652304025772,moderate_multilayer_evidence,7,6
correct,theta_alpha_occipital_ratio,0.1631099213552205,0.056103224729366,0.056103224729366,0.0288426366003303,True,negligible,significant_but_weak,3.0,positive,0.00134209886948125,0.9,0.00119665078901615,35,0.0298974587509148,0.1631099213552205,target_preferential,same_direction,significant_correct_only,0.2467981705982575,1.0,0.0,0.9,0.07435052790995265,0.75,0.5241345954405597,moderate_multilayer_evidence,33,34
remember,theta_beta_ratio,-0.3424385498736004,-0.0461622866138733,0.0461622866138733,0.0053448649841291,True,negligible,significant_but_weak,3.0,negative,0.0093654184539337,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,opposite_direction,significant_both_targets,0.20245720991865515,1.0,0.0,0.9,0.6674586872705811,0.25,0.522360171206722,moderate_multilayer_evidence,8,8
correct,beta_frontoparietal_ratio,-0.178807458673208,-0.0878939764907035,0.0878939764907035,0.0085918631731332,True,negligible,significant_but_weak,3.0,negative,0.00441289023094785,0.6,0.0026477341385687,26,0.0463761073516613,0.178807458673208,target_preferential,same_direction,significant_correct_only,0.38859891992870443,1.0,0.0,0.6,0.30135275473253886,0.75,0.52228500545543,moderate_multilayer_evidence,34,35
remember,theta_parietal,-0.3370532596592301,-0.064341317636975,0.064341317636975,6.358390947165893e-05,True,negligible,significant_but_weak,3.0,negative,0.0104165949155947,0.7,0.00921243450053165,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.2835436919411491,1.0,0.0,0.7,0.7451648448997892,0.25,0.5104024074752662,moderate_multilayer_evidence,9,9
correct,theta_temporal,0.3108521749391855,0.113538613324556,0.113538613324556,5.245038754930327e-06,True,negligible,significant_but_weak,4.0,positive,0.00275328787539725,0.7,0.00204262731018465,33,0.1777613758745846,0.3108521749391855,target_dissociated,opposite_direction,significant_both_targets,0.5029852907401656,1.0,0.0,0.7,0.17866990656597734,0.25,0.5086133133416392,moderate_multilayer_evidence,35,17
remember,alpha_beta_central_ratio,-0.2817822470669995,-0.0421266841185034,0.0421266841185034,0.0114251934499194,True,negligible,significant_but_weak,3.0,negative,0.012021455063968,0.7,0.0077659147943213505,3,0.2817822470669995,1.0588167279465992,target_dissociated,opposite_direction,significant_both_targets,0.18445664603959583,1.0,0.0,0.7,0.8638009827992957,0.25,0.4974942597898286,moderate_multilayer_evidence,10,7
correct,delta_frontoparietal_ratio,-0.069527851805583,-0.0574309172897982,0.0574309172897982,0.0459357547964619,True,negligible,significant_but_weak,3.0,negative,0.0030330416944707,0.8,0.00193199461503725,32,0.0091484223653113,0.069527851805583,weak_cross_target_pattern,opposite_direction,significant_correct_only,0.2527202639593434,1.0,0.0,0.8,0.199350158793034,0.5,0.49311508186913927,moderate_multilayer_evidence,36,38
remember,theta_frontoparietal_diff,0.1770006101954757,0.0577387196849785,0.0577387196849785,0.000384690812106,True,negligible,significant_but_weak,3.0,positive,0.00248887261693465,0.9,0.0023229997505376998,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.2540931981576266,1.0,0.0,0.9,0.15912352733941434,0.25,0.48443565227334817,moderate_multilayer_evidence,11,13
remember,theta_central,-0.1245452053242046,-0.0544767857481047,0.0544767857481047,0.0006842357801919,True,negligible,significant_but_weak,3.0,negative,0.00178101083502665,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,opposite_direction,significant_both_targets,0.2395435366715574,1.0,0.0,0.8,0.10679623386318915,0.25,0.4555655075542083,moderate_multilayer_evidence,12,12
remember,theta_temporal,-0.1777613758745846,-0.0649411751065834,0.0649411751065834,6.358390947165893e-05,True,negligible,significant_but_weak,3.0,negative,0.00275328787539725,0.7,0.00204262731018465,33,0.1777613758745846,0.3108521749391855,target_dissociated,opposite_direction,significant_both_targets,0.28621932035410735,1.0,0.0,0.7,0.17866990656597734,0.25,0.45442182074512466,moderate_multilayer_evidence,13,17
remember,alpha_central,-0.0777916514710383,-0.0413306165575085,0.0413306165575085,0.013157370794358,True,negligible,significant_but_weak,3.0,negative,0.00356808249547075,0.8,0.00255745366708945,25,0.0777916514710383,0.2913718051586234,target_dissociated,opposite_direction,significant_both_targets,0.18090583423388001,1.0,0.0,0.8,0.23890200031246073,0.25,0.45411665858971617,moderate_multilayer_evidence,14,11
