target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,n_subjects,direction_consistency,positive_fraction,negative_fraction,median_effect,mean_effect,std_effect,median_abs_effect,nonzero_subject_fraction,robustness_class,publication_robustness_score,publication_robustness_class
correct,alpha_temporal,0.2003667333175489,0.100171074318177,0.100171074318177,0.001972721506344,True,negligible,significant_but_weak,4.0,positive,0.006030502285252,1.0,0.006030502285252,13,0.0507766219419318,0.2003667333175489,target_dissociated,opposite_direction,significant_correct_only,0.4433601814618825,1.0,0.0,1.0,0.4209315522600717,0.25,0.5779332005914779,moderate_multilayer_evidence,22,25,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.0259348503649758,0.027248635892917775,0.1769982665570434,0.1076333582541586,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,theta_frontoparietal_diff,0.1770006101954757,0.0577387196849785,0.0577387196849785,0.000384690812106,True,negligible,significant_but_weak,3.0,positive,0.0024888726169346,0.9,0.0023229997505376,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.2540931981576266,1.0,0.0,0.9,0.1591235273394143,0.25,0.4844356522733481,moderate_multilayer_evidence,11,13,22,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.0012829558183184,0.007216404476452345,0.12557707040339722,0.06553148011789545,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,theta_central,-0.1245452053242046,-0.0544767857481047,0.0544767857481047,0.0006842357801919,True,negligible,significant_but_weak,3.0,negative,0.0017810108350266,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,opposite_direction,significant_both_targets,0.2395435366715574,1.0,0.0,0.8,0.1067962338631891,0.25,0.4555655075542083,moderate_multilayer_evidence,12,12,22,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.011607086792101099,-0.004115907282348823,0.11360580080623109,0.04144108081126725,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,theta_temporal,-0.1777613758745846,-0.0649411751065834,0.0649411751065834,6.358390947165893e-05,True,negligible,significant_but_weak,3.0,negative,0.0027532878753972,0.7,0.0020426273101846,33,0.1777613758745846,0.3108521749391855,target_dissociated,opposite_direction,significant_both_targets,0.2862193203541073,1.0,0.0,0.7,0.1786699065659773,0.25,0.4544218207451246,moderate_multilayer_evidence,13,17,22,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.00229113186847875,-0.0033958097139939105,0.08968603512669822,0.0389535851074016,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,delta_central,-0.3607989816160346,-0.1334880864554219,0.1334880864554219,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative,0.0003982105572552,1.0,0.0003982105572552,48,0.0850755417405622,0.3607989816160346,target_shared,same_direction,significant_correct_only,0.5919687240336408,1.0,0.0,1.0,0.0045754362395168,1.0,0.648449724632362,strong_multilayer_evidence,7,15,17,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.053237904630791,0.01594723148571994,0.16680331335635182,0.1279433450060214,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,delta_theta_ratio,-1.1145766762746154,-0.0968475666364546,0.0968475666364546,0.0001465080516652,True,negligible,significant_but_weak,3.0,negative,0.0009875659959552,0.8,0.0008521610899551,34,0.4211713678033959,1.1145766762746154,target_shared,same_direction,significant_correct_only,0.4285358739647921,1.0,0.0,0.8,0.0481423807912285,1.0,0.571948206570321,moderate_multilayer_evidence,23,24,17,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0119751868871558,-0.055106454857458256,0.2208501199178265,0.0840043021981323,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,theta_frontoparietal_diff,-0.3007786594133896,-0.0980979543414767,0.0980979543414767,0.000323467232544,True,negligible,significant_but_weak,3.0,negative,0.0024888726169346,0.9,0.0023229997505376,31,0.1770006101954757,0.3007786594133896,target_dissociated,opposite_direction,significant_both_targets,0.4341131536358361,1.0,0.0,0.9,0.1591235273394143,0.25,0.5294406411429005,moderate_multilayer_evidence,30,13,17,0.5294117647058824,0.47058823529411764,0.5294117647058824,-0.0620817786206806,0.006159832855024103,0.15181070840408203,0.1269831801985074,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,alpha_frontoparietal_ratio,-0.0200598330384644,-0.0512989091636434,0.0512989091636434,0.115737511894209,False,negligible,non_significant,0.0,negative,0.000581563761092,0.7,0.0003765856137707,47,0.0066978027009623,0.0200598330384644,weak_cross_target_pattern,opposite_direction,not_fdr_significant,0.2253688079850742,0.0,0.0,0.7,0.0181294621132026,0.5,0.2481551482075888,ml_supported_evidence,52,53,17,0.7058823529411765,0.29411764705882354,0.7058823529411765,-0.0935569508164402,-0.07059348720716957,0.2209857381499035,0.1737347145867576,1.0,moderate_directional_robustness,1.0,exploratory
remember,alpha_temporal,-0.0507766219419318,-0.0253811414745022,0.0253811414745022,0.1534755902104805,False,negligible,non_significant,0.0,negative,0.006030502285252,1.0,0.006030502285252,13,0.0507766219419318,0.2003667333175489,target_dissociated,opposite_direction,significant_correct_only,0.1097641533080423,0.0,0.0,1.0,0.4209315522600717,0.25,0.2945341935530178,ml_supported_evidence,29,25,22,0.6818181818181818,0.6818181818181818,0.3181818181818182,0.025018799178911,0.01629686962287168,0.09708603003222155,0.0603365078844307,1.0,moderate_directional_robustness,1.0,exploratory
remember,beta_frontal,0.0049532286329431,0.0111369292690498,0.0111369292690498,0.4906610496685583,False,negligible,non_significant,0.0,positive,0.0036736515652114,1.0,0.0036736515652114,19,0.0049532286329431,0.0025680976926206,weak_cross_target_pattern,same_direction,not_fdr_significant,0.0462286955900688,0.0,0.0,1.0,0.2467059866774876,0.5,0.286227772565266,ml_supported_evidence,32,48,22,0.6818181818181818,0.6818181818181818,0.3181818181818182,0.02676135788213745,0.006292755656684213,0.09935620573113013,0.0715277785011892,1.0,moderate_directional_robustness,1.0,exploratory
correct,alpha_frontal,0.1761544002949546,0.099496406033894,0.099496406033894,0.0029946881408546,True,negligible,significant_but_weak,3.0,positive,0.0021939683097671,0.9,0.0020589928651441,34,0.0242559269682092,0.1761544002949546,target_dissociated,opposite_direction,significant_correct_only,0.4403508638786108,1.0,0.0,0.9,0.137323305003686,0.25,0.5288200464700213,moderate_multilayer_evidence,31,36,17,0.6470588235294118,0.35294117647058826,0.6470588235294118,-0.0626760015310623,-0.0117935947338535,0.2438905060196912,0.1610940669022808,1.0,weak_directional_robustness,1.0,exploratory
correct,beta_frontoparietal_ratio,-0.178807458673208,-0.0878939764907035,0.0878939764907035,0.0085918631731332,True,negligible,significant_but_weak,3.0,negative,0.0044128902309478,0.6,0.0026477341385687,26,0.0463761073516613,0.178807458673208,target_preferential,same_direction,significant_correct_only,0.3885989199287044,1.0,0.0,0.6,0.3013527547325388,0.75,0.52228500545543,moderate_multilayer_evidence,34,35,17,0.6470588235294118,0.35294117647058826,0.6470588235294118,-0.0780281715566495,-0.04525945894883748,0.35460625384888245,0.2550769645217169,1.0,weak_directional_robustness,1.0,exploratory
correct,delta_frontoparietal_ratio,-0.069527851805583,-0.0574309172897982,0.0574309172897982,0.0459357547964619,True,negligible,significant_but_weak,3.0,negative,0.0030330416944707,0.8,0.0019319946150372,32,0.0091484223653113,0.069527851805583,weak_cross_target_pattern,opposite_direction,significant_correct_only,0.2527202639593434,1.0,0.0,0.8,0.199350158793034,0.5,0.4931150818691392,moderate_multilayer_evidence,36,38,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0767235494216667,0.007618362637043261,0.2102876425156623,0.1147692142007491,1.0,weak_directional_robustness,1.0,exploratory
