channel,t,p,p_fdr,cohens_d,significant_fdr
FP1,-0.5319227974460472,0.595156139532591,0.8534778014455435,-0.055110328553544655,False
CP2,-0.5013636769135926,0.6164729239157389,0.8534778014455435,-0.05220898067563927,False
PO3,-0.5134491511547963,0.6079706659794984,0.8534778014455435,-0.05183838726443202,False
FC6,-0.4880518523028754,0.6258443213663473,0.8534778014455435,-0.05010490518875222,False
O2,-0.4706824693303006,0.6381915341707439,0.8534778014455435,-0.04861686771132234,False
AF7,-0.46493063037640253,0.6423056457828997,0.8534778014455435,-0.04825203455102341,False
FZ,-0.45167286751500485,0.6518313159532204,0.8534778014455435,-0.04743769960806759,False
POZ,-0.47400535918658177,0.6357837345582995,0.8534778014455435,-0.04690107941585289,False
TP7,-0.44490201389781775,0.6567135838177921,0.8534778014455435,-0.04680947959407923,False
PO7,-0.45394838906747287,0.650172107849156,0.8534778014455435,-0.046661229543633526,False
F5,-0.4362506517213558,0.6629600429377451,0.8534778014455435,-0.045423735933185036,False
TP8,-0.44062154869918846,0.6597781311456976,0.8534778014455435,-0.04505597377638298,False
C6,-0.4270269583522974,0.6696476753238757,0.8534778014455435,-0.04400388555485761,False
P8,-0.4273328983800611,0.6694233432188812,0.8534778014455435,-0.04395200628579361,False
PO9,-0.4203511316510057,0.6745138319961007,0.8534778014455435,-0.04340813265356046,False
TP10,-0.4109388777679589,0.6813922380636841,0.8534778014455435,-0.042300856368001634,False
PO4,-0.40885022708345836,0.6828845145478775,0.8534778014455435,-0.039864777491500865,False
F3,-0.38440266709147897,0.7009402161224384,0.8534778014455435,-0.03980858447112776,False
F8,-0.3776488626365687,0.7059426427066274,0.8534778014455435,-0.03892116169410544,False
F1,-0.3660239465613756,0.7145960406939457,0.8534778014455435,-0.038016135724490856,False
CPZ,-0.36329430106238253,0.7166312718725297,0.8534778014455435,-0.037706086451740436,False
P7,-0.3383933478323357,0.7352924904421929,0.8534778014455435,-0.03502286163984639,False
CP5,-0.31706449686205634,0.751406413383799,0.8534778014455435,-0.032885017657100474,False
P6,-0.3136211709557444,0.7540140672389487,0.8534778014455435,-0.03233622408073517,False
CP1,-0.3008832952031341,0.7637003684390655,0.8534778014455435,-0.03105051813705503,False
PZ,-0.3020328377651397,0.7628178984211528,0.8534778014455435,-0.030826146451243763,False
FC5,-0.29122639317510945,0.7710744474039251,0.8534778014455435,-0.030348928790211147,False
P4,-0.3022437364015974,0.7626436587904859,0.8534778014455435,-0.030077896611865728,False
CP6,-0.30013791398062695,0.7642477734774471,0.8534778014455435,-0.029852544267494636,False
CP4,-0.28178414584925643,0.7782815535109544,0.8534778014455435,-0.028509666037418495,False
P2,-0.280843126858179,0.7790033797238233,0.8534778014455435,-0.028455395177806445,False
CP3,-0.2758113211379312,0.7828707338235582,0.8534778014455435,-0.02838252719635858,False
P5,-0.270560570502011,0.7869062715776998,0.8534778014455435,-0.0279948317108334,False
P1,-0.2637013374273368,0.792176878054333,0.8534778014455435,-0.02700203780084465,False
P3,-0.2502869535175431,0.8025245925876374,0.8534778014455435,-0.025694829024575577,False
C1,-0.23580479673350102,0.8137401260637569,0.8534778014455435,-0.02452885522636489,False
C5,-0.2324141236682681,0.8163700709479113,0.8534778014455435,-0.024179148729058363,False
FC1,-0.1699145696729258,0.8651887464004686,0.8910152761437662,-0.017694125830641262,False
FC3,-0.13115475060633985,0.8957369945759522,0.9056814689013262,-0.01358809343579655,False
C3,-0.11858167927035158,0.9056814689013262,0.9056814689013262,-0.012223304890314684,False
