target,feature,p_value,p_fdr,effect_size,mean_difference,direction,n_subjects_x,direction_consistency_x,positive_fraction,negative_fraction,direction_consistency_y,n_subjects_y,fdr_significant,abs_effect_size,effect_magnitude,direction_final,robustness_class,scientific_priority_score,scientific_rank
correct,theta_alpha_central_ratio,0.9790552018633376,0.9790552018633376,0.0007727739828918,0.0011671837226672,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,False,0.0007727739828918,negligible,positive,not_available,0.00069549658460262,56
remember,gamma_occipital,3.35180940230506e-19,1.8770132652908332e-17,0.121482354178585,0.0153329162954944,positive,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,True,0.121482354178585,small,positive,not_available,0.4093341187607265,1
remember,memory_cond,1.477649922760899e-11,4.137419783730517e-10,-0.0931663290260438,-0.1514282864966007,negative,22.0,,0.3636363636363636,0.6363636363636364,0.6363636363636364,22,True,0.0931663290260438,negligible,negative,not_available,0.38384969612343944,2
remember,theta_temporal,4.268751359626459e-06,6.358390947165893e-05,-0.0649411751065834,-0.1777613758745846,negative,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,True,0.0649411751065834,negligible,negative,not_available,0.35844705759592504,3
remember,theta_parietal,4.541707819404209e-06,6.358390947165893e-05,-0.064341317636975,-0.3370532596592301,negative,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,True,0.064341317636975,negligible,negative,not_available,0.35790718587327747,4
remember,gamma_parietal,5.698171508295299e-06,6.381952089290735e-05,0.0613886340082469,0.0067033358779924,positive,22.0,,0.6363636363636364,0.3636363636363636,0.6363636363636364,22,True,0.0613886340082469,negligible,positive,not_available,0.3552497706074222,5
remember,theta_frontoparietal_diff,4.1216872725643394e-05,0.000384690812106,0.0577387196849785,0.1770006101954757,positive,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,True,0.0577387196849785,negligible,positive,not_available,0.3519648477164806,6
remember,theta_abs,5.492116142896659e-05,0.0004393692914317,-0.0564929984650997,-0.1930376038406147,negative,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,True,0.0564929984650997,negligible,negative,not_available,0.3508436986185897,7
remember,theta_central,9.774796859885116e-05,0.0006842357801919,-0.0544767857481047,-0.1245452053242046,negative,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,True,0.0544767857481047,negligible,negative,not_available,0.3490291071732942,8
remember,gamma_frontoparietal_ratio,0.0006925253745596,0.0043090467750375,-0.0472393923056144,-0.2465378010723733,negative,22.0,,0.4090909090909091,0.5909090909090909,0.5909090909090909,22,True,0.0472393923056144,negligible,negative,not_available,0.34251545307505293,9
remember,delta_temporal,0.0010835745515582,0.0055163795352057,-0.0468236166143879,-0.3563561735405196,negative,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,True,0.0468236166143879,negligible,negative,not_available,0.3421412549529491,10
remember,theta_beta_ratio,0.0009544401757373,0.0053448649841291,-0.0461622866138733,-0.3424385498736004,negative,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,True,0.0461622866138733,negligible,negative,not_available,0.34154605795248594,11
remember,alpha_beta_central_ratio,0.0024482557392684,0.0114251934499194,-0.0421266841185034,-0.2817822470669995,negative,22.0,,0.5,0.5,0.5,22,True,0.0421266841185034,negligible,negative,not_available,0.337914015706653,12
remember,alpha_central,0.0030543896486902,0.013157370794358,-0.0413306165575085,-0.0777916514710383,negative,22.0,,0.4545454545454545,0.5454545454545454,0.5454545454545454,22,True,0.0413306165575085,negligible,negative,not_available,0.3371975549017576,13
remember,delta_parietal,0.0071717881161978,0.0286871524647912,-0.0372919849166802,-0.2250862982627182,negative,22.0,,0.4090909090909091,0.5909090909090909,0.5909090909090909,22,True,0.0372919849166802,negligible,negative,not_available,0.33356278642501214,14
remember,gamma_central,0.0080010367839997,0.0298705373269322,0.0350651750312705,0.0055102751278641,positive,22.0,,0.6363636363636364,0.3636363636363636,0.6363636363636364,22,True,0.0350651750312705,negligible,positive,not_available,0.33155865752814345,15
remember,delta_theta_ratio,0.0151063015481599,0.0528720554185598,-0.0365942103721929,-0.4211713678033959,negative,22.0,,0.4090909090909091,0.5909090909090909,0.5909090909090909,22,False,0.0365942103721929,negligible,negative,not_available,0.03293478933497361,16
remember,beta_rel,0.0189587810174144,0.0624524551161886,0.032473857696238,0.0014700022763138,positive,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,False,0.032473857696238,negligible,positive,not_available,0.0292264719266142,17
remember,delta_central,0.0239098250012463,0.0704710631615681,-0.0314666493462431,-0.0850755417405622,negative,22.0,,0.4545454545454545,0.5454545454545454,0.5454545454545454,22,False,0.0314666493462431,negligible,negative,not_available,0.028319984411618794,18
remember,gamma_temporal,0.0223696440057502,0.0695944480178895,0.0312448118356394,0.0114701590569815,positive,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,False,0.0312448118356394,negligible,positive,not_available,0.02812033065207546,19
remember,delta_abs,0.0282133606230168,0.075235628328045,-0.0306508017913887,-0.3359921307783562,negative,22.0,,0.5,0.5,0.5,22,False,0.0306508017913887,negligible,negative,not_available,0.02758572161224983,20
remember,beta_central,0.0279402813102452,0.075235628328045,0.0299242403666285,0.0062002185686043,positive,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,False,0.0299242403666285,negligible,positive,not_available,0.02693181632996565,21
remember,gamma_abs,0.0358640064715279,0.091290198291162,0.0285148435528455,0.0061325332000337,positive,22.0,,0.5909090909090909,0.4090909090909091,0.5909090909090909,22,False,0.0285148435528455,negligible,positive,not_available,0.02566335919756095,22
remember,alpha_beta_occipital_ratio,0.0608147860743522,0.1480707834853794,-0.0258828177785306,-0.3011693679807816,negative,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,False,0.0258828177785306,negligible,negative,not_available,0.02329453600067754,23
remember,alpha_temporal,0.0685158884868216,0.1534755902104805,-0.0253811414745022,-0.0507766219419318,negative,22.0,,0.6818181818181818,0.3181818181818182,0.6818181818181818,22,False,0.0253811414745022,negligible,negative,not_available,0.02284302732705198,24
remember,alpha_rel,0.0669841143318217,0.1534755902104805,0.0253251429847427,0.0034309465301826,positive,22.0,,0.5454545454545454,0.4545454545454545,0.5454545454545454,22,False,0.0253251429847427,negligible,positive,not_available,0.02279262868626843,25
