feature,mean,std,min,max,mean_subject_std,median_subject_std,zero_subject_std_subjects
delta_frontoparietal_diff,1.6098519413597974,11.157646874401738,-202.0366069117123,332.91463471297914,11.197633152941552,8.707045196382596,0
delta_frontoparietal_ratio,1.2992953300120058,1.2106723844142853,0.0123467687575373,61.47755911664401,1.031470354910886,0.9424660995096654,0
theta_frontoparietal_diff,-0.9601963828369889,3.0666640475759106,-48.55176794840982,38.36196313173424,2.48534685535343,1.8521736354754532,0
theta_frontoparietal_ratio,0.8704573677605354,0.6675399058233324,0.0272741296694244,14.977552515897756,0.6335366575947108,0.6191415784461651,0
alpha_frontoparietal_diff,-1.8526244688676994,3.8225355280381974,-82.58968733143463,8.794217992824432,2.3617982606176486,1.324042349946332,0
alpha_frontoparietal_ratio,0.5694394366778617,0.39104420111703725,0.0132280989216938,13.290600102000557,0.3318379737104092,0.3423354234272538,0
beta_frontoparietal_diff,0.029502679603802505,0.4057699336830976,-2.5272767644462046,11.095986408627292,0.2558599527868141,0.21785007329644118,0
beta_frontoparietal_ratio,1.598179410079316,2.0346325232730607,0.121641775168846,30.740646782566305,0.8747991206269911,0.6105741458835373,0
gamma_frontoparietal_diff,0.10706820052877604,0.3309231099340623,-2.5039609369540154,16.53088983915545,0.20709202389977624,0.14176798034565874,0
gamma_frontoparietal_ratio,3.684474302938006,5.220096987393772,0.0463795283966044,72.30822949403186,2.3350726589384334,1.6336069328675855,0
