target,feature,n,subjects,beta,se,odds_ratio,ci_low,ci_high,p_value,singular,converged,p_fdr,effect_direction,effect_magnitude,fdr_significant
target_correct,delta_frontoparietal_diff,21067,23,0.07808599096018519,0.04703169165740086,1.0812156294428459,0.9860027604993689,1.1856226819886653,0.09685722260151589,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,delta_parietal,21067,23,0.070340921238003,0.04826562628762549,1.0728738844055816,0.9760321951434985,1.179324183737904,0.14501401377074016,FALSE,TRUE,0.6214886304460292,positive,very_small,FALSE
target_correct,beta_frontoparietal_diff,21067,23,0.07732477707553206,0.05486742307938593,1.0803929062672892,0.9702365491032465,1.203055927950276,0.1587458446282803,FALSE,TRUE,0.6349833785131213,positive,very_small,FALSE
target_correct,theta_frontoparietal_ratio,21067,23,-0.047233856360214585,0.035565960001535835,0.9538643042711565,0.8896357782275509,1.0227299005166297,0.18415710193872645,FALSE,TRUE,0.6905891322702242,negative,very_small,FALSE
target_correct,theta_alpha_beta_ratio,21067,23,0.054827625444738654,0.04353011141248387,1.0563585096525112,0.9699687806265568,1.150442491761907,0.20783776548092947,FALSE,TRUE,0.6927925516030983,positive,very_small,FALSE
target_correct,alpha_beta_central_ratio,21067,23,0.06530726661560543,0.051716036637689776,1.0674869771078095,0.9645861157951067,1.1813651758355008,0.20665928844870135,FALSE,TRUE,0.6927925516030983,positive,very_small,FALSE
target_correct,theta_abs,21067,23,0.056641332233877954,0.05374629984022709,1.0582761727668533,0.9524654787188083,1.1758415216817486,0.2919448317131265,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,gamma_abs,21067,23,-0.034008271606399666,0.03461295764336138,0.9665635095715293,0.9031653155815443,1.034411975213724,0.32583877770137976,FALSE,TRUE,0.6982259522172423,negative,very_small,FALSE
target_correct,theta_alpha_ratio,21067,23,0.04724391341978014,0.042384224175734994,1.0483776912841298,0.9648051009540717,1.1391894409506893,0.2649970170082285,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,delta_central,21067,23,0.04670947724672994,0.04450903802686584,1.047817550016099,0.9602820483698012,1.143332440698646,0.2939765620682489,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,theta_central,21067,23,0.05627846187724066,0.05539427202658251,1.0578922253803962,0.949049509745831,1.1792176794022131,0.3096475986871397,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,delta_occipital,21067,23,0.13109062845443364,0.11347495361954077,1.1400710995118284,0.9127253358261468,1.4240451764885425,0.24799279711207367,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,alpha_temporal,21067,23,-0.048022377879070384,0.045173336782258405,0.953112458203528,0.8723521298311058,1.0413493896766777,0.2877506221379,FALSE,TRUE,0.6982259522172423,negative,very_small,FALSE
target_correct,theta_alpha_parietal_ratio,21067,23,0.05292228940436936,0.0433761650150012,1.0543477079473176,0.9684145841103928,1.1479061834606175,0.22243544087668118,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,delta_frontoparietal_ratio,21067,23,0.05800098409870752,0.049210250791111146,1.0597160385749582,0.9622787518498706,1.167019515139628,0.2385430615268473,FALSE,TRUE,0.6982259522172423,positive,very_small,FALSE
target_correct,alpha_frontoparietal_ratio,21067,23,-0.03400591648172165,0.033808266613611256,0.9665657859517841,0.9045930372247041,1.0327842246485468,0.3144895596920639,FALSE,TRUE,0.6982259522172423,negative,very_small,FALSE
target_correct,beta_rel,21067,23,-0.03441396444706701,0.03873844363141495,0.9661714612066303,0.8955284267704124,1.042387114183115,0.37434323859727725,FALSE,TRUE,0.7189541462024842,negative,very_small,FALSE
target_correct,theta_frontal,21067,23,0.04591183428792662,0.05041966164895597,1.0469820989653373,0.948464704186029,1.155732533552312,0.36250940719446256,FALSE,TRUE,0.7189541462024842,positive,very_small,FALSE
