feature,perturbation_rows,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_rows,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_rows,loso_stable_count,loso_mean_effect,null_rows,null_min_p,null_significant,r_rows,r_min_p,r_fdr_significant,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,final_evidence_score,final_evidence_class,evidence_class_priority,final_rank
beta_frontoparietal_diff,2,1,0.0029946881408546,0.1295457666058473,1,weak_cross_target_pattern,0.0071649368344698,0.0073560628956703,0.7,46,0,-0.01219409265017932,2,1.0,0,2,0.6349833785131213,0,0.5707640717879372,0.5047924006681889,0.47502716463068534,0.7,0.0,0.0,0.4436549310067591,limited_multilayer_evidence,2,23
delta_rel,2,1,1.1110858625283166e-08,0.208296811598445,1,weak_cross_target_pattern,0.0007158512910718,0.0012361910031705,0.9,46,0,-0.030766116924331156,2,1.0,0,2,0.9479616358853572,0,0.9250161614318563,0.028056404308763955,0.3546119346394964,0.9,0.0,0.0,0.44278770814761614,limited_multilayer_evidence,2,24
delta_central,2,1,0.0020622242878812,0.1334880864554219,1,target_shared,0.00039821055725525005,0.0005051622937751,1.0,46,0,0.006852190850654702,2,1.0,0,2,0.6982259522172423,0,0.5884981227441852,0.0045754362395168105,0.5985173439657571,1.0,0.0,0.0,0.41774308672710114,limited_multilayer_evidence,2,25
theta_frontoparietal_ratio,2,1,0.0001240276747523,0.1436826853394754,1,target_dissociated,0.00151312452548455,0.0023848436794597,1.0,46,0,-0.015855450768932373,2,1.0,0,2,0.6905891322702242,0,0.6343572977950938,0.08699326399541595,0.4512880571730579,1.0,0.0,0.0,0.4162455886824682,limited_multilayer_evidence,2,26
gamma_occipital,2,2,1.877013265290833e-17,0.121482354178585,1,weak_cross_target_pattern,0.0057535301373809,0.0094623447738502,0.8,46,0,-0.03321385272961093,2,1.0,0,2,0.5827241271031729,0,0.5344917822927704,0.40045692961929497,0.3387415768583766,0.8,0.0,0.0,0.4014626468687269,limited_multilayer_evidence,2,27
gamma_frontoparietal_ratio,2,2,0.0020622242878812,0.1110780447761194,1,target_shared,0.0009299386728895,0.0010375978008295,0.9,46,0,0.013496750907051042,2,1.0,0,2,0.9086975917369357,0,0.4876892497362595,0.04388239399242151,0.6415986050911155,0.9,0.0,0.0,0.39401851225077233,limited_multilayer_evidence,2,28
theta_frontoparietal_diff,2,2,0.000323467232544,0.0980979543414767,1,target_dissociated,0.00248887261693465,0.0033190165699001,0.9,46,0,0.006688118665738202,2,1.0,0,2,0.8955378083445141,0,0.4292998764819561,0.15912352733941434,0.5974535509408161,0.9,0.0,0.0,0.3936403847765351,limited_multilayer_evidence,2,29
alpha_rel,2,1,0.0001465080516652,0.1294403336185308,1,weak_cross_target_pattern,0.00047769841972693857,0.0008967809712943,0.7,46,0,0.023910804532799593,2,1.0,0,2,0.9287087233441628,0,0.5702897941948236,0.010451420525802889,0.7091200903085559,0.7,0.0,0.0,0.39148675071557765,limited_multilayer_evidence,2,30
theta_alpha_occipital_ratio,2,1,0.0288426366003303,0.056103224729366,1,target_preferential,0.00134209886948125,0.0014544808046511,0.9,46,0,0.049369511429232,2,1.0,0,2,0.5827241271031729,0,0.24039164395602663,0.07435052790995265,0.8741864288486599,0.9,0.0,0.0,0.3848053023407292,limited_multilayer_evidence,2,31
alpha_frontal,2,1,0.0029946881408546,0.099496406033894,1,target_dissociated,0.0021939683097671,0.0030381821733048,0.9,46,0,-0.0074321937544608975,2,1.0,0,2,0.8687825852408293,0,0.4355906429645021,0.137323305003686,0.5059018362474339,0.9,0.0,0.0,0.37254268899134957,limited_multilayer_evidence,2,32
theta_alpha_parietal_ratio,2,1,0.0488369886158184,0.0563982204593509,1,target_dissociated,0.00451447176811795,0.0088670576145169,0.6000000000000001,46,0,0.03786134052174741,2,1.0,0,2,0.6982259522172423,0,0.2417186467125362,0.3088619705754091,0.7995710274176302,0.6000000000000001,0.0,0.0,0.37211626127674197,limited_multilayer_evidence,2,33
delta_temporal,2,1,0.0055163795352057,0.0468236166143879,1,target_shared,0.0016653490074815,0.0021545850685452,0.9,46,0,0.023816717159913674,2,1.0,0,2,0.5827241271031729,0,0.1986484446611264,0.09824616017841122,0.708510057041418,0.9,0.0,0.0,0.3460133546092475,limited_multilayer_evidence,2,34
beta_frontoparietal_ratio,2,1,0.0085918631731332,0.0878939764907035,1,target_preferential,0.00441289023094785,0.0056429818899272,0.6,46,0,-0.01763192014423584,2,1.0,0,2,0.9086975917369357,0,0.3833985112790379,0.30135275473253886,0.4397699821780132,0.6,0.0,0.0,0.3340741752018699,limited_multilayer_evidence,2,35
delta_frontoparietal_ratio,2,1,0.0459357547964619,0.0574309172897982,1,weak_cross_target_pattern,0.0030330416944707,0.0055052353971673,0.8,46,0,-0.0004685373283284392,2,1.0,0,2,0.6982259522172423,0,0.2463641090068968,0.199350158793034,0.5510520190037321,0.8,0.0,0.0,0.3316714628110774,limited_multilayer_evidence,2,36
beta_occipital,2,1,0.0140042952109003,0.0689181029967217,1,weak_cross_target_pattern,0.00118110247705915,0.0020136741714408,0.6,46,0,0.022444834869257163,2,1.0,0,2,0.7189541462024842,0,0.2980378301770465,0.06244918545835572,0.6996151988874709,0.6,0.0,0.0,0.316922334413427,limited_multilayer_evidence,2,37
delta_theta_ratio,2,1,0.0001465080516652,0.0968475666364546,1,target_shared,0.0009875659959552,0.0012981074619103,0.8,46,0,-0.02764822259031098,2,1.0,0,2,0.929565001946991,0,0.4236751580110993,0.04814238079122858,0.37482739191960546,0.8,0.0,0.0,0.3105127440449416,limited_multilayer_evidence,2,38
beta_central,2,1,0.0055011199100795,0.0771164318879058,1,weak_cross_target_pattern,0.0021501764855749,0.0028029833809482,0.9,46,0,-0.04819291117651983,2,1.0,0,2,0.9086975917369357,0,0.33491702513329213,0.13408608031529007,0.24162201997483546,0.9,0.0,0.0,0.2938708763413481,limited_multilayer_evidence,2,39
gamma_central,2,1,0.0298705373269322,0.0350651750312705,1,weak_cross_target_pattern,0.0067983480610636,0.0117197976368876,1.0,46,0,-0.08545904454246199,2,1.0,0,2,0.5827241271031729,0,0.14575451160707198,0.4776930448032486,0.0,1.0,0.0,0.0,0.2819772368624177,limited_multilayer_evidence,2,40
alpha_beta_occipital_ratio,2,1,0.0064923061224597,0.078030347565542,1,target_dissociated,0.00033631596584126185,0.0005874476720112,0.7,46,0,-0.023430678706818992,2,1.0,0,2,0.9287087233441628,0,0.3390281647199655,0.0,0.40217263491691535,0.7,0.0,0.0,0.2701915681633744,limited_multilayer_evidence,2,41
beta_rel,2,0,0.0624524551161886,0.0341803801682514,1,weak_cross_target_pattern,0.0106082600620509,0.0210441075745583,0.9,46,0,0.0072713237809621705,2,1.0,0,2,0.7189541462024842,0,0.1417743684970957,0.7593333148244457,0.6012348715467487,0.9,0.0,0.0,0.44255722939851283,weak_evidence,1,42
gamma_abs,2,0,0.091290198291162,0.0602417604193382,1,weak_cross_target_pattern,0.00762312907001345,0.0106007072412331,1.0,46,0,-0.015684935911034294,2,1.0,0,2,0.6982259522172423,0,0.2590083482343813,0.5386633627551579,0.45239362248611253,1.0,0.0,0.0,0.41296348410684935,weak_evidence,1,43
theta_alpha_frontal_ratio,2,0,0.27700194077565,0.0186542458605755,1,weak_cross_target_pattern,0.00668501288704695,0.0132588922784737,0.9,46,0,0.03293104850563148,2,1.0,0,2,0.7639900899158508,0,0.07193192357330674,0.46931496441591236,0.7676045471739771,0.9,0.0,0.0,0.4003668832113046,weak_evidence,1,44
gamma_frontal,2,0,0.6941613184779467,0.0266857335426586,1,weak_cross_target_pattern,0.00684344425828315,0.0080914867195881,1.0,46,0,0.0007864446779817978,2,1.0,0,2,0.894145784023616,0,0.10806060344790103,0.48102669270864684,0.5591889320668372,1.0,0.0,0.0,0.3850582758170721,weak_evidence,1,45
theta_alpha_ratio,2,0,0.3941173734800816,0.0136997910549058,1,weak_cross_target_pattern,0.0058340915162535,0.0113152107804942,0.8,46,0,0.036785997954833734,2,1.0,0,2,0.6982259522172423,0,0.04964490543761313,0.4064122714993907,0.7925988406165154,0.8,0.0,0.0,0.3722134487825845,weak_evidence,1,46
alpha_beta_temporal_ratio,2,0,0.6195672198226734,0.0080214744846278,1,weak_cross_target_pattern,0.0018276411525332001,0.0033943159208096,0.9,46,0,0.05863989829926468,2,1.0,0,2,0.7639900899158508,0,0.02410168234933854,0.11024328860101922,0.9342927344717857,0.9,0.0,0.0,0.3499326252018956,weak_evidence,1,47
alpha_frontoparietal_diff,2,0,0.0550740446736389,0.0643057311497376,1,target_dissociated,0.0017077766773523,0.0025032635060803,1.0,46,0,-0.0105506308357226,2,1.0,0,2,0.929565001946991,0,0.27728963102410215,0.10138254243492678,0.48568285996299077,1.0,0.0,0.0,0.33673548823560906,weak_evidence,1,48
delta_occipital,2,0,0.288006678655872,0.0174660790826604,1,target_shared,0.0019900991317369,0.0038235487419538,1.0,46,0,0.024250761439976537,2,1.0,0,2,0.6982259522172423,0,0.06658709844798338,0.12225267598796442,0.711324265177193,1.0,0.0,0.0,0.33336216284502734,weak_evidence,1,49
beta_frontal,2,0,0.4906610496685583,0.0111369292690498,1,weak_cross_target_pattern,0.00367365156521145,0.0043428944344239,1.0,46,0,0.008233450901136488,2,1.0,0,2,0.5827241271031729,0,0.03811618041315951,0.24670598667748767,0.607473004598179,1.0,0.0,0.0,0.3303648433584232,weak_evidence,1,50
gamma_rel,2,0,0.3147258418455821,0.0383588679762054,1,weak_cross_target_pattern,0.00688705283359555,0.0123113633174489,0.7,46,0,-0.037675429077565534,2,1.0,0,2,0.5827241271031729,0,0.1605707925656078,0.4842503710831188,0.3098141032490553,0.7,0.0,0.0,0.30395559300783676,weak_evidence,1,51
theta_alpha_central_ratio,2,0,0.8787550533952064,0.0026636156982537,1,weak_cross_target_pattern,0.00242722834925975,0.0044926506148036,0.8,46,0,0.021643248338167987,2,1.0,0,2,0.9287087233441628,0,0.0,0.15456659579120044,0.694417961091843,0.8,0.0,0.0,0.2897969113766087,weak_evidence,1,52
theta_alpha_temporal_ratio,2,0,0.2325156448518141,0.0205651245509221,1,weak_cross_target_pattern,0.0014346148991075001,0.002456881928861,0.5,46,0,0.029446260236016687,2,1.0,0,2,0.8955378083445141,0,0.08052778117970355,0.08118959389322837,0.7450102637096655,0.5,0.0,0.0,0.26037191681550464,weak_evidence,1,53
alpha_occipital,2,0,0.4467871442454787,0.0299271492552854,1,target_shared,0.001908979664045425,0.003720957479164,0.8,46,0,-0.024598078380483657,2,1.0,0,2,0.9086975917369357,0,0.1226417215741508,0.11625607848684567,0.3946035784629231,0.8,0.0,0.0,0.25283236178349144,weak_evidence,1,54
alpha_frontoparietal_ratio,2,0,0.115737511894209,0.0512989091636434,1,weak_cross_target_pattern,0.0005815637610920501,0.0008866539510294,0.7,46,0,-0.029158424171423142,2,1.0,0,2,0.6982259522172423,0,0.2187800091056445,0.018129462113202616,0.3650357144999407,0.7,0.0,0.0,0.2363280375990398,weak_evidence,1,55
