source_file,subject,run,trial,memory_cond,event_count,has_fixation,has_work_memory,has_probe,has_feedback,has_to_remember,has_to_ignore,has_probe_target,has_probe_not_shown,accuracy,letters_presented,n_letters,response,feedback,start_sample,end_sample,start_latency,end_latency,expected_14_events,bad_trial
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,9,5,14,True,True,True,True,True,True,False,True,1.0,M G L Z B Y R C T,9,1,correct,51906,58090,51905.545881325,58090.467342275,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,10,5,14,True,True,True,True,True,True,True,False,1.0,K C J Y L D M S J,9,255,correct,58099,64109,58099.117337325,64109.113898375,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,11,5,14,True,True,True,True,True,True,True,False,1.0,D C L S J K H V L,9,1,correct,64116,70846,64116.463894174994,70846.310043325,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,12,7,14,True,True,True,True,True,True,True,False,1.0,W K M C Q G B T B,9,1,correct,70855,76872,70854.685038525,76871.60659562501,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,13,3,14,True,True,True,True,True,True,True,False,1.0,J Q D H X G C W D,9,1,correct,76876,83793,76876.28159295,83793.427634925,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,14,5,14,True,True,True,True,True,True,True,False,1.0,K Z J V R H M S R,9,1,correct,83799,91012,83798.97763175001,91011.92350445,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,15,5,14,True,True,True,True,True,True,True,False,1.0,L G Q F Z T R M L,9,1,correct,91019,97498,91018.873500475,97498.44479285,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,16,3,14,True,True,True,True,True,True,True,False,1.0,D M B Y H Q C G C,9,1,correct,97506,104071,97505.644788725,104070.616032225,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,17,7,14,True,True,True,True,True,True,True,False,1.0,W T M P G H Z N M,9,1,correct,104076,110392,104076.4160289,110392.262414925,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,18,7,14,True,True,True,True,True,True,False,True,1.0,W Z V D F X M Y G,9,1,correct,110400,117004,110399.6874107,117003.908631725,True,False
