target,feature,n_subjects,mean_subject_effect,median_subject_effect,std_subject_effect,q25_subject_effect,q75_subject_effect,positive_subjects,negative_subjects,zero_subjects,positive_fraction,negative_fraction,median_direction,direction_consistency
correct,theta_rel,17,0.008665135958324506,0.003425791120166055,0.036865529058831684,-0.011444713732158135,0.015389314290293665,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,delta_theta_ratio,17,-0.22556054230685418,0.024169024923774707,1.6277067774658245,-0.3731434749818823,0.21851649298788,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,beta_frontal,17,-0.0006756488108431227,-2.351941221250972e-05,0.12606988391990398,-0.005655248914745392,0.0352695043776074,8,9,0,0.47058823529411764,0.5294117647058824,negative,unstable
correct,delta_central,17,-0.0016623277916662025,0.03820258074955285,0.4276654298445584,-0.30640216832830447,0.25262349500093295,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,alpha_central,17,0.050338207165728587,0.01091435820058706,0.46862470073347967,-0.0396212928581407,0.11609918552998011,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,beta_central,17,-0.010834622510192632,-1.4108315132214202e-05,0.03752416758088729,-0.02650233535220703,0.011749053796985987,8,9,0,0.47058823529411764,0.5294117647058824,negative,unstable
correct,beta_temporal,17,-0.0011560387676369651,1.6203358701887997e-05,0.049803812881146776,-0.03061683218359651,0.009757895490891899,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,alpha_beta_occipital_ratio,17,-0.4267482977609402,0.20694280631814177,2.052166165337246,-1.1005761238572012,0.6819304628292997,9,8,0,0.5294117647058824,0.47058823529411764,positive,unstable
correct,theta_frontoparietal_diff,17,0.0286995713048234,-6.144273416409806e-05,0.5046618303590499,-0.16316283083037453,0.18557823261223644,8,9,0,0.47058823529411764,0.5294117647058824,negative,unstable
correct,theta_frontoparietal_ratio,17,-0.032026478769395676,-0.01167085802650858,0.07994438102997986,-0.07253686006858251,0.02886061103174198,8,9,0,0.47058823529411764,0.5294117647058824,negative,unstable
correct,alpha_frontoparietal_diff,17,-0.15344128868001855,-3.436113435191805e-05,0.7642260565023742,-0.1200353808073027,0.08641600429137442,8,9,0,0.47058823529411764,0.5294117647058824,negative,unstable
remember,beta_frontal,22,-0.0005802490497868687,0.005584411446428517,0.03244768195459981,-0.0019609958563091214,0.01191815923809933,15,7,0,0.6818181818181818,0.3181818181818182,positive,mixed_weak
remember,alpha_temporal,22,-0.028414709425522322,0.020713316320291997,0.23592220981507506,-0.007097961931362556,0.1038181022471028,15,7,0,0.6818181818181818,0.3181818181818182,positive,mixed_weak
