subject,file,sampling_rate,channels,samples,reference,global_mean,global_std,min,max,p01,p99,median_channel_std,max_channel_std,max_std_channel
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,165216,[ 99 111 109 109 111 110],17.68653678894043,132.72303771972656,-1000.0,1000.0001220703125,-120.87908935546875,1000.0001220703125,20.51724624633789,386.6593017578125,REYE
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,149831,[ 99 111 109 109 111 110],-45.94581604003906,36.47655487060547,-532.1123046875,503.2967529296875,-138.4615020751953,85.22592163085938,21.74575424194336,93.5999984741211,AF7
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,153479,[ 99 111 109 109 111 110],-38.06131362915039,29.8319149017334,-603.4187622070312,606.837646484375,-107.2038803100586,30.525068283081055,21.47902488708496,81.73560333251953,POZ
sub-005,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,154782,[ 99 111 109 109 111 110],-39.28065872192383,26.588626861572266,-778.7545776367188,649.3284912109375,-103.29667663574219,20.757057189941406,22.227191925048828,74.81172943115234,REYE
sub-005,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,152042,[ 99 111 109 109 111 110],-38.707733154296875,25.7388858795166,-511.5994873046875,494.50555419921875,-98.41266632080078,20.26865577697754,21.030481338500977,69.0726089477539,FC2
sub-006,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,174047,[ 99 111 109 109 111 110],-2.8504717350006104,38.607452392578125,-399.26739501953125,661.0501098632812,-73.01583862304688,135.0427703857422,36.21893310546875,55.04990768432617,AF8
sub-006,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,143883,[ 99 111 109 109 111 110],1.1193914413452148,43.36189651489258,-329.91448974609375,1000.0001220703125,-66.17823028564453,170.69601440429688,41.66250991821289,70.65989685058594,FT10
sub-006,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,139419,[ 99 111 109 109 111 110],8.47500228881836,45.99801254272461,-370.45172119140625,631.74609375,-59.34062576293945,192.18563842773438,44.00352478027344,55.654579162597656,TP9
sub-006,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,140169,[ 99 111 109 109 111 110],12.877954483032227,49.77206802368164,-401.7093505859375,1000.0001220703125,-57.875423431396484,215.6288604736328,47.38140869140625,91.7038803100586,F3
sub-007,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,150987,[ 99 111 109 109 111 110],-24.584936141967773,38.766727447509766,-767.5213623046875,1000.0001220703125,-104.76187133789062,105.2503433227539,32.94742965698242,74.87956237792969,FT7
sub-007,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,139325,[ 99 111 109 109 111 110],-24.0609130859375,36.63014221191406,-778.7545776367188,602.4420776367188,-94.50546264648438,97.4359359741211,29.582239151000977,62.84463119506836,C5
sub-007,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,145492,[ 99 111 109 109 111 110],-22.90511703491211,40.66891860961914,-768.009765625,1000.0001220703125,-104.27347564697266,101.83154296875,31.679584503173828,75.64320373535156,FP1
sub-007,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,150365,[ 99 111 109 109 111 110],-23.711273193359375,41.86857986450195,-792.4298095703125,1000.0001220703125,-104.76187133789062,102.3199462890625,33.788780212402344,91.1829605102539,CP6
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,153584,[ 99 111 109 109 111 110],9.706151962280273,38.953556060791016,-886.6911010742188,1000.0001220703125,-67.6434326171875,98.4127426147461,32.862579345703125,97.82450866699219,REYE
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,218911,[ 99 111 109 109 111 110],10.226181983947754,46.18387985229492,-873.5042724609375,1000.0001220703125,-91.57505798339844,168.25401306152344,29.36642074584961,127.05235290527344,P5
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,189474,[ 99 111 109 109 111 110],43.22897720336914,50.95878982543945,-861.7826538085938,1000.0001220703125,-94.50546264648438,203.41885375976562,22.673391342163086,127.30196380615234,P6
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,329898,[ 99 111 109 109 111 110],65.32743835449219,73.28362274169922,-1000.0,1000.0001220703125,-132.6007080078125,312.820556640625,41.333091735839844,175.93353271484375,TP7
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,153971,[ 99 111 109 109 111 110],-41.66746520996094,25.674236297607422,-1000.0,501.8315734863281,-103.29667663574219,22.222257614135742,18.020267486572266,67.37672424316406,PO3
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,157195,[ 99 111 109 109 111 110],-45.0350456237793,58.67884826660156,-1000.0,1000.0001220703125,-230.7692108154297,17.338253021240234,18.304004669189453,312.25311279296875,PO4
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,156203,[ 99 111 109 109 111 110],-41.448543548583984,37.406124114990234,-1000.0,1000.0001220703125,-105.73867797851562,37.85107421875,16.884990692138672,134.1519775390625,POZ
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,159257,[ 99 111 109 109 111 110],-41.78742599487305,19.291259765625,-571.6727905273438,298.6569519042969,-87.17945098876953,4.639840602874756,17.111717224121094,46.21167755126953,F7
sub-010,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,154877,[ 99 111 109 109 111 110],-23.203189849853516,29.78766441345215,-489.133056640625,413.4310607910156,-87.66785430908203,66.66670227050781,24.651437759399414,56.43696975708008,AF7
sub-010,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,148326,[ 99 111 109 109 111 110],-23.852807998657227,28.627172470092773,-598.5347900390625,565.81201171875,-88.6446533203125,64.22470092773438,22.379976272583008,57.46257019042969,TP8
sub-010,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,148571,[ 99 111 109 109 111 110],-20.71834373474121,29.978561401367188,-715.7508544921875,603.9072265625,-79.36504364013672,84.2491226196289,25.36879539489746,58.14653778076172,F6
sub-010,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,147960,[ 99 111 109 109 111 110],-15.845523834228516,33.118812561035156,-884.7374877929688,685.4701538085938,-90.59825897216797,83.7607192993164,25.036399841308594,62.30527877807617,PO8
sub-011,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,187847,[ 99 111 109 109 111 110],-10.805744171142578,17.012405395507812,-327.4725036621094,342.12457275390625,-48.59581756591797,39.8046760559082,15.97937297821045,41.673858642578125,REYE
sub-011,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,191647,[ 99 111 109 109 111 110],-9.918298721313477,18.548355102539062,-414.40777587890625,250.3052978515625,-57.38702392578125,45.17708206176758,15.243579864501953,42.902557373046875,FT9
sub-011,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,212631,[ 99 111 109 109 111 110],-8.211060523986816,19.397829055786133,-417.33819580078125,537.9732055664062,-52.014617919921875,49.572689056396484,15.736797332763672,37.802467346191406,AF4
sub-011,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,203451,[ 99 111 109 109 111 110],-6.408079624176025,22.747615814208984,-471.5506591796875,617.0941162109375,-57.875423431396484,59.3406982421875,16.46565818786621,70.16104888916016,REYE
sub-012,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,136499,[ 99 111 109 109 111 110],-22.219423294067383,50.80910110473633,-830.5250244140625,1000.0001220703125,-146.27590942382812,137.97317504882812,46.417781829833984,125.58601379394531,PZ
sub-012,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,140935,[ 99 111 109 109 111 110],-21.869009017944336,52.11122512817383,-808.0586547851562,983.8828125,-152.13671875,154.57879638671875,44.486846923828125,90.69566345214844,F3
sub-012,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,139549,[ 99 111 109 109 111 110],-23.619544982910156,53.15056610107422,-777.7777709960938,1000.0001220703125,-159.4627227783203,148.71798706054688,46.45098876953125,143.81614685058594,AF7
sub-014,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,1000.0,71,588801,[ 99 111 109 109 111 110],-0.22578048706054688,43.78190994262695,-500.0,499.9847412109375,-123.47412109375,99.9908447265625,31.6463565826416,97.43376922607422,REYE
sub-014,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,1000.0,71,606465,[ 99 111 109 109 111 110],1.6264487504959106,41.10297393798828,-500.0,499.9847412109375,-116.9891357421875,115.90576171875,27.124725341796875,94.12510681152344,O2
sub-014,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,1000.0,71,595967,[ 99 111 109 109 111 110],-1.6499388217926025,34.25751876831055,-500.0,499.9847412109375,-88.0279541015625,89.9505615234375,27.692001342773438,77.58323669433594,REYE
sub-015,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,299520,[ 99 111 109 109 111 110],-2.9358248710632324,40.60906982421875,-500.0,499.9847412109375,-52.001953125,139.6636962890625,30.599340438842773,67.69319915771484,F8
sub-015,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,281601,[ 99 111 109 109 111 110],-4.825210094451904,24.750152587890625,-445.648193359375,465.02685546875,-49.4384765625,85.540771484375,25.146379470825195,30.148719787597656,FT7
sub-015,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,277759,[ 99 111 109 109 111 110],-5.84978723526001,26.434659957885742,-500.0,499.9847412109375,-54.6112060546875,88.9739990234375,25.402414321899414,49.102115631103516,TP10
sub-016,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,388097,[ 99 111 109 109 111 110],11.145195007324219,36.3940544128418,-500.0,499.9847412109375,-73.18115234375,132.9498291015625,34.3806037902832,55.461341857910156,FP2
sub-016,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,345857,[ 99 111 109 109 111 110],11.159802436828613,40.403106689453125,-500.0,499.9847412109375,-79.3304443359375,153.289794921875,39.154205322265625,61.33667755126953,CP1
sub-016,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,283391,[ 99 111 109 109 111 110],11.226191520690918,33.69614028930664,-500.0,499.9847412109375,-63.7359619140625,119.110107421875,30.325237274169922,54.42211151123047,CZ
sub-017,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,278273,[ 99 111 109 109 111 110],11.196845054626465,40.391422271728516,-500.0,499.9847412109375,-82.8399658203125,160.919189453125,38.04266357421875,68.68277740478516,FP2
sub-017,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,277505,[ 99 111 109 109 111 110],11.317617416381836,37.34746551513672,-500.0,499.9847412109375,-85.7696533203125,136.2152099609375,35.77650451660156,61.713863372802734,PO9
sub-017,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,257791,[ 99 111 109 109 111 110],10.396698951721191,36.78330993652344,-500.0,499.9847412109375,-84.747314453125,125.946044921875,35.73127365112305,60.1851806640625,CZ
sub-018,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,308992,[ 99 111 109 109 111 110],14.820900917053223,27.97063446044922,-500.0,499.9847412109375,-35.9649658203125,67.840576171875,19.687719345092773,55.37357711791992,P8
sub-018,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,297472,[ 99 111 109 109 111 110],13.908106803894043,19.72091293334961,-380.5694580078125,385.345458984375,-33.3099365234375,64.8651123046875,17.0832576751709,52.72626876831055,FC6
sub-018,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,292607,[ 99 111 109 109 111 110],13.983901977539062,19.366315841674805,-291.3360595703125,398.1781005859375,-30.1971435546875,64.208984375,17.374895095825195,34.16755676269531,FC4
sub-019,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,319489,[ 99 111 109 109 111 110],13.413373947143555,20.337961196899414,-500.0,499.9847412109375,-36.0565185546875,57.7239990234375,16.154102325439453,61.54655075073242,REYE
sub-019,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,313856,[ 99 111 109 109 111 110],13.640198707580566,23.011821746826172,-438.568115234375,499.9847412109375,-44.1436767578125,65.61279296875,17.29829978942871,52.887290954589844,PO4
sub-019,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,327679,[ 99 111 109 109 111 110],14.103632926940918,24.34954261779785,-500.0,499.9847412109375,-46.356201171875,69.793701171875,17.850540161132812,59.41230392456055,PZ
sub-020,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,299777,[ 99 111 109 109 111 110],12.77015209197998,20.70140838623047,-332.183837890625,346.710205078125,-32.2723388671875,68.3441162109375,19.47901153564453,33.909149169921875,LEYE
sub-020,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,308481,[ 99 111 109 109 111 110],12.76012897491455,23.88030242919922,-500.0,440.673828125,-38.9251708984375,78.0029296875,20.30655288696289,46.857269287109375,CP6
sub-020,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,292607,[ 99 111 109 109 111 110],12.7936429977417,21.386512756347656,-397.88818359375,322.2503662109375,-35.0494384765625,66.680908203125,18.493051528930664,45.71437454223633,PO8
sub-021,sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,357121,[ 99 111 109 109 111 110],21.625415802001953,31.782894134521484,-500.0,499.9847412109375,-70.465087890625,113.3880615234375,23.770999908447266,78.21125793457031,C3
sub-021,sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,395521,[ 99 111 109 109 111 110],16.259004592895508,25.84554100036621,-500.0,499.9847412109375,-54.8095703125,91.583251953125,19.65534019470215,51.80352020263672,PZ
sub-021,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,340479,[ 99 111 109 109 111 110],11.6823148727417,27.86160659790039,-500.0,499.9847412109375,-60.4248046875,87.738037109375,19.214214324951172,68.60213470458984,F3
sub-022,sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,500.0586756077117,71,289025,[ 99 111 109 109 111 110],0.5665218830108643,0.5740771889686584,-7.62939453125,7.629161834716797,-1.0505318641662598,1.8558930158615112,0.5068252682685852,1.0693984031677246,F6
sub-022,sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,500.0586756077117,71,242688,[ 99 111 109 109 111 110],0.5052267909049988,0.9314417243003845,-7.62939453125,7.629161834716797,-2.979999303817749,3.161607265472412,0.6695844531059265,2.133549213409424,AF3
sub-022,sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,500.0586756077117,71,386818,[ 99 111 109 109 111 110],0.5005528926849365,0.6344240307807922,-7.62939453125,7.629161834716797,-1.1320226192474365,2.2470486164093018,0.4605172276496887,1.9914875030517578,PO7
sub-022,sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,500.0586756077117,71,345856,[ 99 111 109 109 111 110],0.4905639588832855,0.564093291759491,-7.62939453125,7.629161834716797,-1.1138617992401123,2.2503082752227783,0.4118511974811554,1.4689176082611084,PO7
sub-022,sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,500.0586756077117,71,348161,[ 99 111 109 109 111 110],0.4614724814891815,0.711244523525238,-7.62939453125,7.629161834716797,-1.3634562492370605,2.485234260559082,0.4888063371181488,2.281721830368042,REYE
sub-022,sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,500.0586756077117,71,404225,[ 99 111 109 109 111 110],0.5939773321151733,1.4914289712905884,-7.62939453125,7.629161834716797,-5.401205062866211,7.629161834716797,0.47078388929367065,5.359138488769531,PO7
sub-023,sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,500.0586756077117,71,360961,[ 99 111 109 109 111 110],0.5543084144592285,0.4828895330429077,-7.62939453125,7.629161834716797,-0.7012858986854553,1.7937272787094116,0.3902057111263275,1.3473286628723145,CP6
sub-023,sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,500.0586756077117,71,354305,[ 99 111 109 109 111 110],0.4238288402557373,0.4113033711910248,-7.62939453125,7.629161834716797,-0.557629406452179,1.5131663084030151,0.3189307749271393,0.9970647096633911,F6
sub-023,sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,500.0586756077117,71,356864,[ 99 111 109 109 111 110],0.4095543622970581,0.6065271496772766,-7.62939453125,7.629161834716797,-0.7494818568229675,2.0079314708709717,0.5105071663856506,1.0900721549987793,POZ
sub-023,sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,500.0586756077117,71,339201,[ 99 111 109 109 111 110],0.4010467827320099,0.6681010723114014,-7.62939453125,7.629161834716797,-1.398613691329956,2.867309331893921,0.444604754447937,1.3577178716659546,TP10
sub-023,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,500.0586756077117,71,309505,[ 99 111 109 109 111 110],0.30941909551620483,0.44964906573295593,-7.62939453125,7.629161834716797,-1.317355751991272,1.5138648748397827,0.3052525222301483,1.2115157842636108,F4
sub-024,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,284929,[ 99 111 109 109 111 110],3.6809561252593994,38.51338577270508,-500.0,499.9847412109375,-104.8126220703125,117.85888671875,36.075950622558594,62.825443267822266,CP5
sub-024,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,281601,[ 99 111 109 109 111 110],2.1571407318115234,42.54304504394531,-500.0,499.9847412109375,-105.743408203125,112.518310546875,37.745784759521484,79.41023254394531,FP2
sub-024,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,283391,[ 99 111 109 109 111 110],4.538885593414307,43.29465103149414,-500.0,499.9847412109375,-95.0927734375,130.2642822265625,37.38459777832031,71.51908111572266,F8
