subject_left_out,target,feature,n_subjects,mean_effect,median_effect,direction,full_n_subjects,full_mean_effect,full_median_effect,full_direction,direction_agrees_with_full,absolute_mean_change,relative_mean_change
sub-007,remember,theta_occipital,21,0.000438971742584931,-0.0035843528295895,1.0,22,0.001496081143524913,0.0100555128668375,1.0,True,0.001057109400939982,0.7065856056773292
sub-007,remember,theta_parietal,21,-0.008265348062638227,0.0152573544594434,-1.0,22,-0.010798479725520525,0.0151709516428865,-1.0,True,0.0025331316628822986,0.23458224928603943
sub-007,remember,theta_rel,21,-0.0053016088034220235,-0.0029168151123687,-1.0,22,-0.014536550484554562,-0.00514433645290715,-1.0,True,0.00923494168113254,0.6352911367070811
sub-007,remember,theta_temporal,21,-0.0035322662577252826,0.0042359915016836,-1.0,22,-0.0033958097139939105,0.00229113186847875,-1.0,True,0.00013645654373137207,0.040183801574347214
sub-007,correct,alpha_abs,16,-0.03833001037518485,-0.032418045873448445,-1.0,17,0.003977169084874701,-0.0314873277469293,1.0,False,0.04230717946005955,10.637510892095356
sub-007,correct,alpha_beta_central_ratio,16,0.10430694245933272,0.0731813106905245,1.0,17,0.14402964758962156,0.0918357757863384,1.0,True,0.03972270513028883,0.2757953365509113
sub-007,correct,alpha_beta_frontal_ratio,16,-0.026546543984906794,0.0592428703998227,-1.0,17,0.011768877838233034,0.1052386511879747,1.0,False,0.03831542182313983,3.2556563463226893
sub-007,correct,alpha_beta_occipital_ratio,16,-0.01576650693416748,0.02818276416586385,-1.0,17,-0.03671384250847402,0.0245095354919788,-1.0,True,0.020947335574306544,0.5705568838094687
sub-007,correct,alpha_beta_parietal_ratio,16,0.016166683265470716,0.0308184243304054,1.0,17,0.037132833069950806,0.0382750490663845,1.0,True,0.02096614980448009,0.5646256445066842
sub-007,correct,alpha_beta_ratio,16,-0.0031449401205094867,0.0206772974888908,-1.0,17,0.046180390629905685,0.027962344081358,1.0,False,0.049325330750415175,1.0681012022118512
sub-007,correct,alpha_beta_temporal_ratio,16,0.053669243857441734,0.0599705395902789,1.0,17,0.06494299068767259,0.0617200039401055,1.0,True,0.011273746830230857,0.1735945128312489
sub-007,correct,alpha_central,16,0.018015670587357348,-0.00014317429719555054,1.0,17,0.04246795987509471,0.0177681990916285,1.0,True,0.024452289287737364,0.5757820568648833
sub-007,correct,alpha_frontal,16,-0.04251004278407216,-0.0660759565515068,-1.0,17,-0.0117935947338535,-0.0626760015310623,-1.0,True,0.03071644805021866,2.604502591737117
sub-007,correct,alpha_frontoparietal_diff,16,0.009413946480114548,-0.0152541787834251,1.0,17,-0.030850199169255386,-0.0426794577245955,-1.0,False,0.040264145649369934,1.3051502659177732
sub-007,correct,alpha_frontoparietal_ratio,16,-0.04646418199843219,-0.0865774089019209,-1.0,17,-0.07059348720716957,-0.0935569508164402,-1.0,True,0.02412930520873738,0.34180639267650137
sub-007,correct,alpha_occipital,16,-0.05996876084392794,-0.041301851231255,-1.0,17,-0.0353875819230478,-0.0226737443574212,-1.0,True,0.024581178920880138,0.6946272558077925
sub-007,correct,alpha_rel,16,0.023637570047457482,0.042440655210347594,1.0,17,0.05097832355011286,0.0454504463368716,1.0,True,0.027340753502655375,0.5363211576735902
sub-007,correct,alpha_temporal,16,0.01755659363868794,0.02549389704777165,1.0,17,0.027248635892917775,0.0259348503649758,1.0,True,0.009692042254229833,0.3556890808155612
sub-007,correct,beta_abs,16,0.016288644747415267,0.0286911864095237,1.0,17,0.0006445398145583712,0.022617076858297,1.0,True,0.015644104932856895,24.271743311273944
sub-007,correct,beta_central,16,-0.0698775793653935,-0.018250184339837203,-1.0,17,-0.08727746109283907,-0.0573648282093374,-1.0,True,0.017399881727445568,0.1993628310170126
sub-007,correct,beta_frontal,16,0.03393445686360502,0.00850545332844495,1.0,17,0.010174146145588859,-0.0024640408308667,1.0,True,0.023760310718016164,2.3353616488316096
sub-007,correct,beta_frontoparietal_diff,16,0.00961256269255091,-0.05809212024252395,1.0,17,-0.03944986095015843,-0.0650358100322439,-1.0,False,0.04906242364270934,1.2436653123998478
sub-007,correct,beta_frontoparietal_ratio,16,0.006142034946590512,-0.06950330276147204,1.0,17,-0.04525945894883748,-0.0780281715566495,-1.0,False,0.051401493895427995,1.135707211028166
sub-007,correct,beta_occipital,16,0.009220073585632475,0.07165946385599155,1.0,17,0.05622197652916972,0.075512730773342,1.0,True,0.047001902943537247,0.8360058796430109
sub-007,correct,beta_parietal,16,0.013379796026706643,0.0226575465476272,1.0,17,0.04568359299605848,0.0300598021055862,1.0,True,0.03230379696935184,0.7071203215591857
sub-007,correct,beta_rel,16,0.03645081233412631,-0.00773843599364925,1.0,17,0.004003613901954628,-0.0116664289571332,1.0,True,0.032447198432171684,8.10447741135339
sub-007,correct,beta_temporal,16,0.01735984860948347,0.01167345767023125,1.0,17,0.0020193839783318964,0.0030800889060386,1.0,True,0.015340464631151575,7.59660609163766
sub-007,correct,delta_abs,16,0.07032514995918984,0.07880448481849155,1.0,17,0.0500998314822681,0.0751932060962368,1.0,True,0.020225318476921744,0.40370032949272733
sub-007,correct,delta_central,16,0.028903453971993044,0.056649244265719295,1.0,17,0.01594723148571994,0.053237904630791,1.0,True,0.012956222486273105,0.8124433697394338
sub-007,correct,delta_frontoparietal_diff,16,0.08760292679618856,0.1033047987150405,1.0,17,0.0627843531353025,0.0965889029100864,1.0,True,0.02481857366088605,0.3952987077433313
sub-007,correct,delta_frontoparietal_ratio,16,0.032128935601717985,0.0772956207045333,1.0,17,0.007618362637043261,0.0767235494216667,1.0,True,0.024510572964674723,3.217301949567925
sub-007,correct,delta_occipital,16,0.055406872667206564,0.0657871225506737,1.0,17,0.03884197513017873,0.0337134178161626,1.0,True,0.016564897537027834,0.42646898056833216
sub-007,correct,delta_parietal,16,0.054514620267001865,0.0867303975994412,1.0,17,0.042145890738078534,0.0816931621013528,1.0,True,0.01236872952892333,0.2934741516270355
sub-007,correct,delta_rel,16,-0.023326001375029888,-0.01212310918804465,-1.0,17,-0.07439446030727782,-0.0181843987718074,-1.0,True,0.051068458932247936,0.6864551301443077
sub-007,correct,delta_temporal,16,0.06860988680868724,0.103284213130238,1.0,17,0.05208933196612908,0.0902600490670809,1.0,True,0.016520554842558155,0.31715812468665544
sub-007,correct,delta_theta_ratio,16,-0.0232167379274205,0.02377919417748675,-1.0,17,-0.055106454857458256,0.0119751868871558,-1.0,True,0.031889716930037754,0.5786929500822663
sub-007,correct,gamma_abs,16,-0.028921848600987815,-0.047640854842901,-1.0,17,-0.05686524273293527,-0.0685925280951577,-1.0,True,0.027943394131947456,0.49139672652383093
sub-007,correct,gamma_central,16,-0.16400967654306298,-0.0526622826991817,-1.0,17,-0.18547637333133052,-0.0566883528600988,-1.0,True,0.021466696788267542,0.11573817410112906
sub-007,correct,gamma_frontal,16,0.010515272819247239,-0.06609408315094994,1.0,17,-0.018570855272571345,-0.0854695744567192,-1.0,False,0.029086128091818583,1.5662244772742382
sub-007,correct,gamma_frontoparietal_ratio,16,0.033030907932821166,-0.11857816529243334,1.0,17,0.0009702615712471755,-0.1482127749572843,1.0,True,0.03206064636157399,33.043302251333316
sub-007,correct,gamma_occipital,16,-0.08182931797997214,-0.0343987691604214,-1.0,17,-0.08945879593248873,-0.0548388597736076,-1.0,True,0.007629477952516589,0.08528482719881761
sub-007,correct,gamma_parietal,16,-0.03440535045621048,-0.07588649968283895,-1.0,17,-0.05958862522387283,-0.1006162409118598,-1.0,True,0.02518327476766235,0.42261882486883157
sub-007,correct,gamma_rel,16,-0.06462681894553661,-0.06331576012581985,-1.0,17,-0.10166472404316662,-0.0680082285851119,-1.0,True,0.03703790509763001,0.364314224488563
sub-007,correct,gamma_temporal,16,-0.010965939546444115,-0.06969518866795975,-1.0,17,-0.03680055328585214,-0.1385081681207297,-1.0,True,0.025834613739408027,0.7020169924820142
sub-007,correct,theta_abs,16,0.049114107278446145,0.059712800635390646,1.0,17,0.09306439261390705,0.1011817885579857,1.0,True,0.0439502853354609,0.4722567257038457
sub-007,correct,theta_alpha_central_ratio,16,0.002072583793252772,0.02108183965050095,1.0,17,0.019230682046213178,0.024672152042746,1.0,True,0.017158098252960406,0.8922251541431472
sub-007,correct,theta_alpha_frontal_ratio,16,0.01815996456007392,0.0674558256649708,1.0,17,0.05565969462472302,0.0808250903691507,1.0,True,0.0374997300646491,0.6737322279161841
sub-007,correct,theta_alpha_occipital_ratio,16,0.07088169303295039,0.023075126020425753,1.0,17,0.07878043065566702,0.0375691400620294,1.0,True,0.007898737622716631,0.10026268651970666
sub-007,correct,theta_alpha_parietal_ratio,16,0.037143403110535204,0.0394963432333881,1.0,17,0.057607059823141175,0.0484739848887195,1.0,True,0.02046365671260597,0.3552282788851093
sub-007,correct,theta_alpha_ratio,16,0.027388253981964476,0.055257888173760206,1.0,17,0.05985120385013264,0.0618279945127793,1.0,True,0.03246294986816816,0.542394267447909
sub-007,correct,theta_alpha_temporal_ratio,16,0.029981446602085477,-0.02188579863810495,1.0,17,0.058508311526769,-0.019445121900486,1.0,True,0.02852686492468352,0.48756944407174996
sub-007,correct,theta_beta_ratio,16,0.0020500585202836083,0.0592155397932908,1.0,17,0.05244258158047268,0.0847662864916092,1.0,True,0.05039252306018907,0.9609085125388457
sub-007,correct,theta_central,16,0.050149623871074675,0.0710715487026947,1.0,17,0.11307711641494934,0.1026073676032386,1.0,True,0.06292749254387467,0.5565006832412942
sub-007,correct,theta_frontoparietal_diff,16,0.020358658149394068,-0.0199145723508928,1.0,17,0.006159832855024103,-0.0620817786206806,1.0,True,0.014198825294369964,2.3050666517337515
sub-007,correct,theta_frontoparietal_ratio,16,-0.039622969162811904,0.0058357013589331996,-1.0,17,-0.03877004880421776,-0.0184003772783559,-1.0,True,0.0008529203585941406,0.02199946569325319
sub-007,correct,theta_occipital,16,0.045722044190012724,0.06444441068411275,1.0,17,0.07227551076487133,0.0680261649250033,1.0,True,0.02655346657485861,0.367392306105495
sub-007,correct,theta_parietal,16,0.049663136626324655,0.0928027780251289,1.0,17,0.08155791977439754,0.1098504300048916,1.0,True,0.03189478314807288,0.3910691105940298
sub-007,correct,theta_rel,16,0.03178921220886075,0.011895462140166601,1.0,17,0.08679106636054519,0.0267486725345396,1.0,True,0.05500185415168444,0.6337271387264349
sub-007,correct,theta_temporal,16,0.07854302383618308,0.05434937192189765,1.0,17,0.10826577717700087,0.0660816722314345,1.0,True,0.02972275334081778,0.27453507577214203
sub-008,remember,alpha_abs,21,-0.01447194754411269,0.0213409031658623,-1.0,22,-0.004225080718999699,0.02401404754028395,-1.0,True,0.01024686682511299,2.4252475885334013
sub-008,remember,alpha_beta_central_ratio,21,-0.015047489511565518,-0.0025246841906916,-1.0,22,-0.006481369496393726,-0.0012023537617123499,-1.0,True,0.008566120015171791,1.3216527803171896
sub-008,remember,alpha_beta_frontal_ratio,21,0.003867983082214658,-0.0017436997569701,1.0,22,0.006868067233128458,-0.00017555386438575,1.0,True,0.0030000841509137998,0.43681636318915856
sub-008,remember,alpha_beta_occipital_ratio,21,-0.01694350410969004,0.002846169028417,-1.0,22,-0.010147514905164053,0.0075259452461013,-1.0,True,0.006795989204525987,0.6697195587332934
sub-008,remember,alpha_beta_parietal_ratio,21,-0.01827005700874948,-0.0100953967486679,-1.0,22,-0.00889987824774338,-0.007146879630928599,-1.0,True,0.0093701787610061,1.052843477199474
sub-008,remember,alpha_beta_ratio,21,-0.01209105769241924,-0.0047562250314685,-1.0,22,-0.004946131824715725,1.643148696604986e-05,-1.0,True,0.007144925867703516,1.4445482087639596
sub-008,remember,alpha_beta_temporal_ratio,21,0.05081403163425115,0.021701706143165,1.0,22,0.05233680591085687,0.0315087420271479,1.0,True,0.001522774276605722,0.029095666999614016
sub-008,remember,alpha_central,21,-0.022212756056125355,-0.0269006979629089,-1.0,22,-0.01501586222283353,-0.01501119428169965,-1.0,True,0.007196893833291824,0.47928608603960354
sub-008,remember,alpha_frontal,21,-0.006960457309118355,0.0208244421122482,-1.0,22,-0.0030707927750683456,0.031058370447483198,-1.0,True,0.0038896645340500092,1.266664610399651
sub-008,remember,alpha_frontoparietal_diff,21,0.01522706873488365,0.0003508395007239,1.0,22,0.00974893749781017,0.0002832907681079,1.0,True,0.00547813123707348,0.561920849149355
sub-008,remember,alpha_frontoparietal_ratio,21,0.014961733412971124,-0.0087302300649315,1.0,22,0.01227663886432328,-0.010858941748103399,1.0,True,0.002685094548647843,0.21871577215249888
sub-008,remember,alpha_occipital,21,-0.016914580087232428,-0.0018726791703318,-1.0,22,-0.013808574837919587,0.006018385239761,-1.0,True,0.0031060052493128414,0.224933078595734
sub-008,remember,alpha_rel,21,-0.007664628791968896,0.0001746590438893,-1.0,22,-0.003156714484513651,0.00273943482436755,-1.0,True,0.004507914307455245,1.428039922384609
sub-008,remember,alpha_temporal,21,0.014208160983122312,0.0188570018099933,1.0,22,0.01629686962287168,0.025018799178911,1.0,True,0.002088708639749368,0.1281662483706681
sub-008,remember,beta_abs,21,0.0038705309198642764,0.0015822985112636,1.0,22,0.011882839884920149,0.0064287775629291,1.0,True,0.008012308965055871,0.674275597639235
sub-008,remember,beta_central,21,-0.01062845720772714,0.013280913261545,-1.0,22,-0.009108361260200665,0.017305056347534098,-1.0,True,0.0015200959475264748,0.16689016872536583
sub-008,remember,beta_frontal,21,0.005283339599100055,0.026233714488158,1.0,22,0.006292755656684213,0.02676135788213745,1.0,True,0.0010094160575841579,0.16040922493342777
sub-008,remember,beta_frontoparietal_diff,21,0.01337730094466579,0.0088350688532738,1.0,22,0.015061675649799796,0.0103621489766398,1.0,True,0.0016843747051340056,0.11183182696915896
sub-008,remember,beta_frontoparietal_ratio,21,0.007281269673780734,0.0197555952987486,1.0,22,0.009995618660365795,0.0250422045529727,1.0,True,0.0027143489865850603,0.27155387563431993
sub-008,remember,beta_occipital,21,-0.010991899780728866,0.0158756891648535,-1.0,22,-0.011332306790655403,0.01008362228756505,-1.0,True,0.0003404070099265362,0.030038633458744263
sub-008,remember,beta_parietal,21,-0.0052793007734948955,0.0087825780602552,-1.0,22,-0.005930338816362909,0.005094234456075399,-1.0,True,0.0006510380428680134,0.10978091859973975
sub-008,remember,beta_rel,21,0.012181673965032933,0.0180197776350641,1.0,22,0.01053903365996976,0.0168174660327096,1.0,True,0.0016426403050631717,0.15586251624780226
sub-008,remember,beta_temporal,21,-0.05923104996397638,0.0126926902113925,-1.0,22,-0.06158071509031959,0.012371174100029601,-1.0,True,0.0023496651263432144,0.03815585971837113
sub-008,remember,delta_abs,21,0.00659763272326678,-0.0065310986896701,1.0,22,0.007228722856415695,-0.0031531389258265497,1.0,True,0.0006310901331489155,0.08730313026025133
sub-008,remember,delta_central,21,-0.001837588129754136,-0.0022208002599433,-1.0,22,-0.002242849784410514,-0.0058486340347987,-1.0,True,0.0004052616546563778,0.18069050253532354
sub-008,remember,delta_frontoparietal_diff,21,-0.008965766014982142,-0.0015450917898877,-1.0,22,-0.008891798665416483,-0.0035818687385868,-1.0,True,7.396734956565884e-05,0.008318603732374802
sub-008,remember,delta_frontoparietal_ratio,21,-0.0050757554990829915,0.0149154362677029,-1.0,22,-0.008555437293700145,0.00552592003253765,-1.0,True,0.0034796817946171534,0.40672167595447645
sub-008,remember,delta_occipital,21,0.0084161942701209,0.0070640186658745,1.0,22,0.009659547749774438,0.0202226940751393,1.0,True,0.0012433534796535382,0.12871756648053964
sub-008,remember,delta_parietal,21,0.00746127799523187,-0.0136349380070306,1.0,22,0.007668092957052327,-0.0127862519011169,1.0,True,0.0002068149618204571,0.026970846986179253
sub-008,remember,delta_rel,21,0.014384294096974995,0.0187659652572542,1.0,22,0.012862226458615516,0.0100134032748007,1.0,True,0.0015220676383594783,0.11833624942437167
sub-008,remember,delta_temporal,21,-0.005228978956069711,0.0104766210105404,-1.0,22,-0.004455897646301734,0.010532915525169599,-1.0,True,0.000773081309767977,0.1734962001224629
sub-008,remember,delta_theta_ratio,21,0.0017209080054855271,-0.0102457031328271,1.0,22,-0.00018999032316373288,-0.0103091462388365,-1.0,False,0.00191089832864926,10.057871879098052
sub-008,remember,gamma_abs,21,0.02298070799542489,0.0098017117493061,1.0,22,0.025495370910866674,0.027636058275061652,1.0,True,0.0025146629154417822,0.09863213695667314
sub-008,remember,gamma_central,21,0.01928777045440843,0.0509209297011822,1.0,22,0.014558284246406573,0.0427861302894467,1.0,True,0.004729486208001857,0.32486563168796745
sub-008,remember,gamma_frontal,21,0.024209221691588394,0.0229120009761729,1.0,22,0.020143744628534934,0.0143858938803237,1.0,True,0.00406547706305346,0.20182330237122073
sub-008,remember,gamma_frontoparietal_ratio,21,0.02384553758163261,-0.0471491685534784,1.0,22,0.026023240242854986,-0.03536198003882305,1.0,True,0.0021777026612223756,0.08368299415828095
sub-008,remember,gamma_occipital,21,0.025302834048934922,0.0160456150036585,1.0,22,0.023031090473266857,0.0133513575859867,1.0,True,0.002271743575668065,0.09863812476899311
sub-008,remember,gamma_parietal,21,0.02404389536211067,0.0252819675475891,1.0,22,0.018942058685776395,0.02026889488011765,1.0,True,0.005101836676334275,0.2693390808764228
sub-008,remember,gamma_rel,21,0.03153356245547906,0.0313494293066601,1.0,22,0.02631386588803555,0.0210692636781099,1.0,True,0.005219696567443508,0.19836296915295948
sub-008,remember,gamma_temporal,21,-0.054552386403944095,0.0276814519819795,-1.0,22,-0.05651817964866923,0.02027048990149495,-1.0,True,0.0019657932447251364,0.03478160933251895
sub-008,remember,theta_abs,21,-0.007086679657338731,0.0253465952983008,-1.0,22,-0.0029891438300134214,0.0321264622211444,-1.0,True,0.00409753582732531,1.3708058428579906
sub-008,remember,theta_alpha_central_ratio,21,0.030654276161483203,0.0022639975020207,1.0,22,0.024055814630122893,0.0018794202919669499,1.0,True,0.00659846153136031,0.27429798711109377
sub-008,remember,theta_alpha_frontal_ratio,21,0.014169461922420286,0.012405460018272,1.0,22,0.010202402386540039,0.0102901272273364,1.0,True,0.003967059535880247,0.3888358237187314
sub-008,remember,theta_alpha_occipital_ratio,21,0.02080233372123688,-0.0030303759920971,1.0,22,0.019958592202797092,-0.00039517783826780004,1.0,True,0.0008437415184397862,0.04227460082688298
sub-008,remember,theta_alpha_parietal_ratio,21,0.022195453278720703,-0.0092970279075838,1.0,22,0.01811562122035374,-0.01519353624041025,1.0,True,0.0040798320583669626,0.22521071779658774
sub-008,remember,theta_alpha_ratio,21,0.01894053271191006,0.0139125410978419,1.0,22,0.013720792059534921,0.0072135815711985,1.0,True,0.0052197406523751405,0.3804256073356794
sub-008,remember,theta_alpha_temporal_ratio,21,0.003985283831898649,-0.0003032758469318,1.0,22,0.0003842089452644267,-0.004374930220801349,1.0,True,0.0036010748866342223,9.372699233110854
sub-008,remember,theta_beta_ratio,21,0.0038885287708230708,0.0058846005636505,1.0,22,0.004779497052755068,0.00875205737736785,1.0,True,0.0008909682819319975,0.18641465244097438
