final_rank,feature,feature_group,frequency_band,region,final_evidence_score,final_evidence_class,evidence_level,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_stable_count,loso_rows,loso_stability_rate,loso_mean_effect,null_significant,null_min_p,r_fdr_significant,r_min_p,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,top_10_flag,top_20_flag
38,delta_theta_ratio,Frequency Ratio,Delta,Global / Mixed,0.3105127440449416,limited_multilayer_evidence,Low,1,0.0001465080516652,0.0968475666364546,target_shared,0.0009875659959552,0.0012981074619103,0.8,0,46,0.0,-0.0276482225903109,0,1.0,0,0.929565001946991,0.4236751580110993,0.0481423807912285,0.3748273919196054,0.8,0.0,0.0,0,0
39,beta_central,Regional Band Power,Beta,Central,0.2938708763413481,limited_multilayer_evidence,Very Low,1,0.0055011199100795,0.0771164318879058,weak_cross_target_pattern,0.0021501764855749,0.0028029833809482,0.9,0,46,0.0,-0.0481929111765198,0,1.0,0,0.9086975917369357,0.3349170251332921,0.13408608031529,0.2416220199748354,0.9,0.0,0.0,0,0
40,gamma_central,Regional Band Power,Gamma,Central,0.2819772368624177,limited_multilayer_evidence,Very Low,1,0.0298705373269322,0.0350651750312705,weak_cross_target_pattern,0.0067983480610636,0.0117197976368876,1.0,0,46,0.0,-0.0854590445424619,0,1.0,0,0.5827241271031729,0.1457545116070719,0.4776930448032486,0.0,1.0,0.0,0.0,0,0
41,alpha_beta_occipital_ratio,Frequency Ratio,Alpha,Occipital,0.2701915681633744,limited_multilayer_evidence,Very Low,1,0.0064923061224597,0.078030347565542,target_dissociated,0.0003363159658412,0.0005874476720112,0.7,0,46,0.0,-0.0234306787068189,0,1.0,0,0.9287087233441628,0.3390281647199655,0.0,0.4021726349169153,0.7,0.0,0.0,0,0
42,beta_rel,Relative Band Power,Beta,Global / Mixed,0.4425572293985128,weak_evidence,Low,0,0.0624524551161886,0.0341803801682514,weak_cross_target_pattern,0.0106082600620509,0.0210441075745583,0.9,0,46,0.0,0.0072713237809621,0,1.0,0,0.7189541462024842,0.1417743684970957,0.7593333148244457,0.6012348715467487,0.9,0.0,0.0,0,0
43,gamma_abs,Absolute Band Power,Gamma,Global / Mixed,0.4129634841068493,weak_evidence,Low,0,0.091290198291162,0.0602417604193382,weak_cross_target_pattern,0.0076231290700134,0.0106007072412331,1.0,0,46,0.0,-0.0156849359110342,0,1.0,0,0.6982259522172423,0.2590083482343813,0.5386633627551579,0.4523936224861125,1.0,0.0,0.0,0,0
44,theta_alpha_frontal_ratio,Frequency Ratio,Theta,Frontal,0.4003668832113046,weak_evidence,Low,0,0.27700194077565,0.0186542458605755,weak_cross_target_pattern,0.0066850128870469,0.0132588922784737,0.9,0,46,0.0,0.0329310485056314,0,1.0,0,0.7639900899158508,0.0719319235733067,0.4693149644159123,0.7676045471739771,0.9,0.0,0.0,0,0
45,gamma_frontal,Regional Band Power,Gamma,Frontal,0.3850582758170721,weak_evidence,Low,0,0.6941613184779467,0.0266857335426586,weak_cross_target_pattern,0.0068434442582831,0.0080914867195881,1.0,0,46,0.0,0.0007864446779817,0,1.0,0,0.894145784023616,0.108060603447901,0.4810266927086468,0.5591889320668372,1.0,0.0,0.0,0,0
46,theta_alpha_ratio,Frequency Ratio,Theta,Global / Mixed,0.3722134487825845,weak_evidence,Low,0,0.3941173734800816,0.0136997910549058,weak_cross_target_pattern,0.0058340915162535,0.0113152107804942,0.8,0,46,0.0,0.0367859979548337,0,1.0,0,0.6982259522172423,0.0496449054376131,0.4064122714993907,0.7925988406165154,0.8,0.0,0.0,0,0
47,alpha_beta_temporal_ratio,Frequency Ratio,Alpha,Temporal,0.3499326252018956,weak_evidence,Low,0,0.6195672198226734,0.0080214744846278,weak_cross_target_pattern,0.0018276411525332,0.0033943159208096,0.9,0,46,0.0,0.0586398982992646,0,1.0,0,0.7639900899158508,0.0241016823493385,0.1102432886010192,0.9342927344717856,0.9,0.0,0.0,0,0
48,alpha_frontoparietal_diff,Regional Difference / Ratio,Alpha,Frontoparietal,0.336735488235609,weak_evidence,Low,0,0.0550740446736389,0.0643057311497376,target_dissociated,0.0017077766773523,0.0025032635060803,1.0,0,46,0.0,-0.0105506308357226,0,1.0,0,0.929565001946991,0.2772896310241021,0.1013825424349267,0.4856828599629907,1.0,0.0,0.0,0,0
49,delta_occipital,Regional Band Power,Delta,Occipital,0.3333621628450273,weak_evidence,Low,0,0.288006678655872,0.0174660790826604,target_shared,0.0019900991317369,0.0038235487419538,1.0,0,46,0.0,0.0242507614399765,0,1.0,0,0.6982259522172423,0.0665870984479833,0.1222526759879644,0.711324265177193,1.0,0.0,0.0,0,0
50,beta_frontal,Regional Band Power,Beta,Frontal,0.3303648433584232,weak_evidence,Low,0,0.4906610496685583,0.0111369292690498,weak_cross_target_pattern,0.0036736515652114,0.0043428944344239,1.0,0,46,0.0,0.0082334509011364,0,1.0,0,0.5827241271031729,0.0381161804131595,0.2467059866774876,0.607473004598179,1.0,0.0,0.0,0,0
51,gamma_rel,Relative Band Power,Gamma,Global / Mixed,0.3039555930078367,weak_evidence,Low,0,0.3147258418455821,0.0383588679762054,weak_cross_target_pattern,0.0068870528335955,0.0123113633174489,0.7,0,46,0.0,-0.0376754290775655,0,1.0,0,0.5827241271031729,0.1605707925656078,0.4842503710831188,0.3098141032490553,0.7,0.0,0.0,0,0
52,theta_alpha_central_ratio,Frequency Ratio,Theta,Central,0.2897969113766087,weak_evidence,Very Low,0,0.8787550533952064,0.0026636156982537,weak_cross_target_pattern,0.0024272283492597,0.0044926506148036,0.8,0,46,0.0,0.0216432483381679,0,1.0,0,0.9287087233441628,0.0,0.1545665957912004,0.694417961091843,0.8,0.0,0.0,0,0
53,theta_alpha_temporal_ratio,Frequency Ratio,Theta,Temporal,0.2603719168155046,weak_evidence,Very Low,0,0.2325156448518141,0.0205651245509221,weak_cross_target_pattern,0.0014346148991075,0.002456881928861,0.5,0,46,0.0,0.0294462602360166,0,1.0,0,0.8955378083445141,0.0805277811797035,0.0811895938932283,0.7450102637096655,0.5,0.0,0.0,0,0
54,alpha_occipital,Regional Band Power,Alpha,Occipital,0.2528323617834914,weak_evidence,Very Low,0,0.4467871442454787,0.0299271492552854,target_shared,0.0019089796640454,0.003720957479164,0.8,0,46,0.0,-0.0245980783804836,0,1.0,0,0.9086975917369357,0.1226417215741508,0.1162560784868456,0.3946035784629231,0.8,0.0,0.0,0,0
55,alpha_frontoparietal_ratio,Regional Difference / Ratio,Alpha,Frontoparietal,0.2363280375990398,weak_evidence,Very Low,0,0.115737511894209,0.0512989091636434,weak_cross_target_pattern,0.000581563761092,0.0008866539510294,0.7,0,46,0.0,-0.0291584241714231,0,1.0,0,0.6982259522172423,0.2187800091056445,0.0181294621132026,0.3650357144999407,0.7,0.0,0.0,0,0
